step,split,time_unix,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_resolution,train_generator_loss_amplitude,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_generator_loss_phase,train_generator_loss_spectrum,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_resolution,val_loss,val_loss_total,val_loss_amplitude,val_loss_mel,val_loss_phase,val_loss_spectrum
0,validation,1783152149.944183,,,,,,,,,,,,,,,,1967.2828979492188,1967.2828979492188,20.768580436706543,2.795682907104492,4.720128536224365,21.74390983581543
5,train,1783152162.4842505,809.5172119140625,809.5172119140625,809.5172119140625,5.1328125,3.0546875,6.245334625244141,0.13454478979110718,1.1294351816177368,1.52028226852417,4.290308952331543,1.2673908472061157,10.595312118530273,10.595312118530273,9.99609375,5.9921875,,,,,,
10,train,1783152162.8697448,715.22265625,715.22265625,715.22265625,4.921875,3.02734375,4.462981224060059,0.43005436658859253,1.4342482089996338,1.6045254468917847,4.189022064208984,0.8742263913154602,10.377734184265137,10.377734184265137,9.79296875,5.84765625,,,,,,
15,train,1783152163.2601142,676.78564453125,676.78564453125,676.78564453125,5.59765625,2.953125,3.8185296058654785,2.346003770828247,4.189676761627197,1.424428105354309,4.149541854858398,0.8620219230651855,8.84375,8.84375,8.333984375,5.09765625,,,,,,
20,train,1783152163.6458948,689.0850219726562,689.0850219726562,689.0850219726562,8.203125,3.37890625,4.033185005187988,2.7221453189849854,12.059039115905762,1.4701979160308838,4.1202850341796875,0.8467581272125244,8.524658203125,8.524658203125,8.133056640625,3.916015625,,,,,,
25,train,1783152164.0367372,651.9100952148438,651.9100952148438,651.9100952148438,7.765625,5.9609375,3.0872747898101807,4.955385208129883,31.001136779785156,1.253423810005188,4.127141952514648,1.3723609447479248,6.956640720367432,6.956640720367432,6.689453125,2.671875,,,,,,
30,train,1783152164.4254634,624.732177734375,624.732177734375,624.732177734375,8.359375,7.4765625,2.6892683506011963,5.9031853675842285,52.82734680175781,1.145150899887085,4.103987693786621,1.074577808380127,7.396142482757568,7.396142482757568,7.220703125,1.75439453125,,,,,,
35,train,1783152164.815811,678.1202392578125,678.1202392578125,678.1202392578125,7.2578125,20.484375,3.043670415878296,3.683119297027588,71.37893676757812,1.0659394264221191,4.116250038146973,3.0717766284942627,10.65386962890625,10.65386962890625,10.529296875,1.2457275390625,,,,,,
40,train,1783152165.204107,624.5653076171875,624.5653076171875,624.5653076171875,6.07421875,8.2265625,2.7105844020843506,5.406986236572266,58.397674560546875,1.2992501258850098,4.104062080383301,0.7786470651626587,6.1519775390625,6.1519775390625,6.0263671875,1.256103515625,,,,,,
45,train,1783152165.5976555,605.979736328125,605.979736328125,605.979736328125,7.59765625,14.0,2.343224048614502,4.8454976081848145,79.17233276367188,1.0910649299621582,4.105736255645752,0.9551316499710083,7.468163967132568,7.468163967132568,7.41650390625,0.5166015625,,,,,,
50,train,1783152166.0183024,601.8751220703125,601.8751220703125,601.8751220703125,9.53125,18.25,2.2286503314971924,6.065817832946777,92.51783752441406,0.9742692112922668,4.099322319030762,1.0568856000900269,5.710192680358887,5.710192680358887,5.662109375,0.4808349609375,,,,,,
55,train,1783152166.4040983,587.8416748046875,587.8416748046875,587.8416748046875,8.640625,14.71875,2.0348198413848877,5.489197731018066,77.71604919433594,0.9974279999732971,4.103494644165039,0.8833863735198975,7.762689113616943,7.762689113616943,7.66729736328125,0.95391845703125,,,,,,
60,train,1783152166.795072,587.108642578125,587.108642578125,587.108642578125,7.78515625,16.5,1.9178032875061035,5.89608907699585,99.40727996826172,1.0228520631790161,4.093659400939941,1.0070643424987793,5.717282295227051,5.717282295227051,5.6572265625,0.600555419921875,,,,,,
65,train,1783152167.1860657,575.818603515625,575.818603515625,575.818603515625,6.1953125,16.859375,1.7999708652496338,4.32310152053833,104.36247253417969,0.965236485004425,4.084685325622559,1.0137577056884766,8.682764053344727,8.682764053344727,8.5859375,0.96826171875,,,,,,
70,train,1783152167.5748644,584.7086791992188,584.7086791992188,584.7086791992188,6.2890625,21.625,1.8687540292739868,5.281193733215332,102.51700592041016,0.8944852352142334,4.106790065765381,1.2849737405776978,7.335711479187012,7.335711479187012,7.275390625,0.60321044921875,,,,,,
75,train,1783152167.9608018,574.346435546875,574.346435546875,574.346435546875,7.3828125,13.515625,1.7984199523925781,6.367872714996338,79.78607177734375,0.9734150171279907,4.095731258392334,0.8479935526847839,5.212457180023193,5.212457180023193,5.121337890625,0.91119384765625,,,,,,
80,train,1783152168.3546352,579.9521484375,579.9521484375,579.9521484375,10.5859375,19.15625,1.7795510292053223,7.593087673187256,96.42317199707031,0.8756754398345947,4.094324111938477,1.064880132675171,5.600805759429932,5.600805759429932,5.5625,0.383056640625,,,,,,
