step,split,time_unix,learning_rate_generator,learning_rate_discriminator,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_resolution,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_resolution,val_loss,val_mel_l1
0,validation,1783143033.6804578,,,,,,,,,,,,,,,2.659819483757019,2.659819483757019
5,train,1783143059.143093,9.999980000015999e-05,9.999980000015999e-05,76.17112731933594,76.17112731933594,76.17112731933594,1.2174911499023438,2.995849132537842,0.22212418913841248,0.8145319819450378,1.5529884099960327,5.802576065063477,5.802576065063477,2.809873104095459,2.9927029609680176,,
10,train,1783143061.4209774,9.999960000071998e-05,9.999960000071998e-05,90.00839233398438,90.00839233398438,90.00839233398438,1.706864833831787,2.856508255004883,0.26859188079833984,1.0923930406570435,1.8382900953292847,5.406482219696045,5.406482219696045,2.5613224506378174,2.8451597690582275,,
15,train,1783143063.69658,9.999940000167997e-05,9.999940000167997e-05,77.28585815429688,77.28585815429688,77.28585815429688,1.3390604257583618,2.6254286766052246,0.4498181939125061,1.477798581123352,1.5436919927597046,4.9865899085998535,4.9865899085998535,2.3858745098114014,2.600715398788452,,
20,train,1783143065.9705048,9.999920000303997e-05,9.999920000303997e-05,81.12881469726562,81.12881469726562,81.12881469726562,1.6888747215270996,2.296299457550049,0.6781927347183228,1.5610589981079102,1.6147809028625488,4.60468864440918,4.60468864440918,2.1886188983917236,2.416069984436035,,
25,train,1783143068.2472963,9.999900000479996e-05,9.999900000479996e-05,74.00392150878906,74.00392150878906,74.00392150878906,1.7848376035690308,1.9726030826568604,0.9578127861022949,1.7755964994430542,1.4395480155944824,4.035407543182373,4.035407543182373,1.9766099452972412,2.058797597885132,,
30,train,1783143070.5213459,9.999880000695994e-05,9.999880000695994e-05,65.69560241699219,65.69560241699219,65.69560241699219,1.545478105545044,1.622378945350647,0.36052221059799194,1.2944846153259277,1.315949559211731,4.412679195404053,4.412679195404053,2.5487821102142334,1.8638970851898193,,
35,train,1783143072.8043833,9.999860000951992e-05,9.999860000951992e-05,68.1516342163086,68.1516342163086,68.1516342163086,1.2714511156082153,1.2456512451171875,0.4900667667388916,1.3088042736053467,1.3785953521728516,4.474188804626465,4.474188804626465,2.7967090606689453,1.6774795055389404,,
40,train,1783143075.0768125,9.99984000124799e-05,9.99984000124799e-05,60.26457214355469,60.26457214355469,60.26457214355469,1.390392541885376,1.0200159549713135,0.4020867347717285,1.0289913415908813,1.222044587135315,4.049934387207031,4.049934387207031,2.452529191970825,1.597405195236206,,
45,train,1783143077.3443096,9.999820001583987e-05,9.999820001583987e-05,65.35296630859375,65.35296630859375,65.35296630859375,1.5742697715759277,0.9501327872276306,0.6426019668579102,1.087418556213379,1.3193005323410034,3.712090015411377,3.712090015411377,2.1928513050079346,1.5192385911941528,,
50,train,1783143079.650774,9.999800001959983e-05,9.999800001959983e-05,59.15816116333008,59.15816116333008,59.15816116333008,1.9796981811523438,0.9931148290634155,1.141133189201355,1.2760099172592163,1.1411347389221191,3.4152743816375732,3.4152743816375732,1.9249894618988037,1.4902849197387695,,
55,train,1783143081.925247,9.999780002375978e-05,9.999780002375978e-05,60.424949645996094,60.424949645996094,60.424949645996094,2.268434762954712,0.924304187297821,1.1099724769592285,1.0032095909118652,1.1779077053070068,3.4481844902038574,3.4481844902038574,1.9602800607681274,1.48790442943573,,
60,train,1783143084.196523,9.999760002831973e-05,9.999760002831973e-05,57.75991439819336,57.75991439819336,57.75991439819336,1.770292043685913,0.9205036163330078,1.5428234338760376,1.0721540451049805,1.107537031173706,3.4250898361206055,3.4250898361206055,1.945936918258667,1.479152798652649,,
65,train,1783143086.4650302,9.999740003327965e-05,9.999740003327965e-05,58.96883010864258,58.96883010864258,58.96883010864258,2.137495517730713,0.9161475896835327,1.6237733364105225,1.294844627380371,1.11284339427948,3.341564178466797,3.341564178466797,1.9105587005615234,1.4310054779052734,,
70,train,1783143088.7412415,9.999720003863958e-05,9.999720003863958e-05,60.30036544799805,60.30036544799805,60.30036544799805,2.6762380599975586,0.9425584673881531,1.7693578004837036,1.2683955430984497,1.1245790719985962,3.1309361457824707,3.1309361457824707,1.7048569917678833,1.426079273223877,,
75,train,1783143091.0170507,9.99970000443995e-05,9.99970000443995e-05,57.512996673583984,57.512996673583984,57.512996673583984,2.2787461280822754,0.9364594221115112,1.912027359008789,1.1782763004302979,1.0692707300186157,3.124497413635254,3.124497413635254,1.7144112586975098,1.4100860357284546,,
80,train,1783143093.2965868,9.99968000505594e-05,9.99968000505594e-05,56.88375473022461,56.88375473022461,56.88375473022461,2.3277502059936523,0.9118672609329224,2.003927230834961,1.3955743312835693,1.0410029888153076,3.010633707046509,3.010633707046509,1.6381909847259521,1.3724427223205566,,
