step,split,time_unix,learning_rate_generator,learning_rate_discriminator,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial_period,train_generator_loss_adversarial_scale,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_scale,train_generator_loss_mel,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_scale,val_loss,val_mel_l1
0,validation,1783134332.2513337,,,,,,,,,,,,,,,1.895050287246704,1.895050287246704
5,train,1783134354.583201,,,69.98824310302734,69.98824310302734,69.98824310302734,1.40274977684021,0.537254810333252,0.33264872431755066,0.12629830837249756,1.4917855262756348,4.392003536224365,4.392003536224365,2.78533935546875,1.6066641807556152,,
10,train,1783134355.3189774,,,69.95478057861328,69.95478057861328,69.95478057861328,1.105291724205017,0.9378972053527832,0.6254366636276245,0.16376051306724548,1.4740711450576782,3.8558082580566406,3.8558082580566406,2.3253936767578125,1.5304144620895386,,
15,train,1783134356.060141,,,64.33716583251953,64.33716583251953,64.33716583251953,1.635761022567749,0.9116427898406982,1.5015679597854614,0.6071398854255676,1.2793854475021362,3.0521445274353027,3.0521445274353027,1.7691048383712769,1.2830395698547363,,
20,train,1783134356.8153417,,,75.62596893310547,75.62596893310547,75.62596893310547,2.309966802597046,3.1447055339813232,3.5418460369110107,1.912543773651123,1.3169447183609009,1.5398129224777222,1.5398129224777222,1.0449668169021606,0.49484607577323914,,
25,train,1783134357.5560162,,,64.28915405273438,64.28915405273438,64.28915405273438,4.049398899078369,0.7444854378700256,1.770811915397644,0.4900926351547241,1.2216323614120483,3.6282131671905518,3.6282131671905518,2.0930304527282715,1.5351827144622803,,
30,train,1783134358.2973986,,,59.41676330566406,59.41676330566406,59.41676330566406,1.757211446762085,1.2879611253738403,1.0896763801574707,0.41648805141448975,1.1857613325119019,5.944662094116211,5.944662094116211,3.760310649871826,2.184351682662964,,
35,train,1783134359.0421321,,,56.63230895996094,56.63230895996094,56.63230895996094,1.3685967922210693,0.6956228017807007,0.6467761993408203,0.4825778305530548,1.1624306440353394,3.9989004135131836,3.9989004135131836,2.5296058654785156,1.469294548034668,,
40,train,1783134359.783005,,,62.32591247558594,62.32591247558594,62.32591247558594,1.6645246744155884,2.6597559452056885,1.2256470918655396,1.5956525802612305,1.1635340452194214,3.154693603515625,3.154693603515625,1.97798490524292,1.1767085790634155,,
45,train,1783134360.5267327,,,55.60512161254883,55.60512161254883,55.60512161254883,1.7022361755371094,1.3465754985809326,1.412864327430725,0.38760724663734436,1.0878969430923462,3.4847280979156494,3.4847280979156494,1.8459498882293701,1.6387782096862793,,
50,train,1783134361.311361,,,54.53622817993164,54.53622817993164,54.53622817993164,2.3618757724761963,0.9278212785720825,1.8895899057388306,0.2946886420249939,1.0417327880859375,3.4313411712646484,3.4313411712646484,1.8100780248641968,1.621263027191162,,
55,train,1783134362.0473492,,,53.5283088684082,53.5283088684082,53.5283088684082,1.6456522941589355,0.9900171756744385,1.898052453994751,0.49795883893966675,1.0244581699371338,3.046609878540039,3.046609878540039,1.7423394918441772,1.3042705059051514,,
60,train,1783134362.7901747,,,56.08230972290039,56.08230972290039,56.08230972290039,2.0728771686553955,1.043322205543518,2.0252952575683594,1.0211418867111206,1.0416275262832642,2.5796267986297607,2.5796267986297607,1.542220950126648,1.0374058485031128,,
65,train,1783134363.5341778,,,57.17782211303711,57.17782211303711,57.17782211303711,2.219562530517578,1.4114410877227783,1.8305805921554565,1.1268645524978638,1.0584872961044312,3.2025156021118164,3.2025156021118164,2.0397281646728516,1.1627875566482544,,
70,train,1783134364.2731225,,,56.21525192260742,56.21525192260742,56.21525192260742,2.284003734588623,1.810906171798706,2.2767608165740967,1.3772132396697998,0.9958309531211853,2.3839807510375977,2.3839807510375977,1.5136882066726685,0.8702925443649292,,
75,train,1783134365.0293477,,,55.93047332763672,55.93047332763672,55.93047332763672,2.217517137527466,1.595846176147461,2.1640453338623047,1.2119760513305664,1.0081125497817993,2.745913028717041,2.745913028717041,1.606508493423462,1.139404535293579,,
80,train,1783134365.7728622,,,57.244720458984375,57.244720458984375,57.244720458984375,2.4675307273864746,1.2358405590057373,2.2294957637786865,1.1253167390823364,1.0407049655914307,2.6031317710876465,2.6031317710876465,1.546434998512268,1.0566966533660889,,
85,train,1783134366.519117,,,55.01227569580078,55.01227569580078,55.01227569580078,2.6519432067871094,1.6790622472763062,2.4326491355895996,1.5282191038131714,0.9502118229866028,2.3262534141540527,2.3262534141540527,1.444405198097229,0.8818482160568237,,
90,train,1783134367.2595634,,,53.3821907043457,53.3821907043457,53.3821907043457,3.3091819286346436,2.0912089347839355,2.1070468425750732,1.3923802375793457,0.910732090473175,2.59316349029541,2.59316349029541,1.756157636642456,0.8370058536529541,,
95,train,1783134368.0032072,,,54.488765716552734,54.488765716552734,54.488765716552734,2.7564568519592285,1.9556456804275513,2.0524182319641113,1.8124094009399414,0.9343779683113098,2.772735118865967,2.772735118865967,1.896087884902954,0.8766472935676575,,
