step,split,time_unix,train_excitation_cross_entropy,train_loss,val_excitation_cross_entropy,val_loss
0,validation,1783387642.8347247,,,5.628918409347534,5.628918409347534
10,train,1783387657.600729,4.619914531707764,4.619914531707764,,
20,train,1783387659.9997318,4.466886043548584,4.466886043548584,,
30,train,1783387662.3743577,4.316125869750977,4.316125869750977,,
40,train,1783387664.6984313,4.291010856628418,4.291010856628418,,
50,train,1783387680.2176597,4.202779769897461,4.202779769897461,,
60,train,1783387717.4053195,4.100503921508789,4.100503921508789,,
70,train,1783387739.3814821,4.128377437591553,4.128377437591553,,
80,train,1783387766.627272,4.102348804473877,4.102348804473877,,
90,train,1783387785.383882,4.099105358123779,4.099105358123779,,
100,train,1783387804.202228,3.972644090652466,3.972644090652466,,
110,train,1783387806.5760975,3.9611117839813232,3.9611117839813232,,
120,train,1783387808.9140375,4.022974967956543,4.022974967956543,,
130,train,1783387811.3421283,3.845975399017334,3.845975399017334,,
140,train,1783387813.696703,3.923556327819824,3.923556327819824,,
150,train,1783387816.1102445,3.9635727405548096,3.9635727405548096,,
160,train,1783387818.4975367,3.825629234313965,3.825629234313965,,
170,train,1783387820.8643456,3.816538095474243,3.816538095474243,,
180,train,1783387823.206801,3.9119760990142822,3.9119760990142822,,
190,train,1783387825.5280197,3.8871028423309326,3.8871028423309326,,
200,train,1783387828.3552563,3.8490779399871826,3.8490779399871826,,
210,train,1783387830.7320807,3.8561174869537354,3.8561174869537354,,
220,train,1783387833.0803537,3.844249725341797,3.844249725341797,,
230,train,1783387835.4033933,3.8048219680786133,3.8048219680786133,,
240,train,1783387837.803867,3.7933590412139893,3.7933590412139893,,
250,train,1783387840.1853397,3.845069169998169,3.845069169998169,,
260,train,1783387842.5242913,3.8050384521484375,3.8050384521484375,,
270,train,1783387844.9010875,3.777252197265625,3.777252197265625,,
280,train,1783387847.2694132,3.779155731201172,3.779155731201172,,
290,train,1783387849.5958428,3.6912920475006104,3.6912920475006104,,
300,train,1783387852.3921034,3.650806188583374,3.650806188583374,,
310,train,1783387854.741466,3.8625004291534424,3.8625004291534424,,
320,train,1783387857.1488492,3.7590584754943848,3.7590584754943848,,
330,train,1783387859.4922087,3.793224334716797,3.793224334716797,,
340,train,1783387861.818795,3.8161280155181885,3.8161280155181885,,
350,train,1783387864.203005,3.7752230167388916,3.7752230167388916,,
360,train,1783387866.5752337,3.611272096633911,3.611272096633911,,
370,train,1783387868.9460204,3.711700201034546,3.711700201034546,,
380,train,1783387871.279924,3.7041146755218506,3.7041146755218506,,
390,train,1783387873.6898983,3.749690055847168,3.749690055847168,,
400,train,1783387877.4830663,3.6935436725616455,3.6935436725616455,,
410,train,1783387880.0759127,3.686591863632202,3.686591863632202,,
420,train,1783387882.430904,3.6991662979125977,3.6991662979125977,,
430,train,1783387884.773326,3.677839517593384,3.677839517593384,,
440,train,1783387887.085564,3.6515052318573,3.6515052318573,,
450,train,1783387889.429815,3.6520235538482666,3.6520235538482666,,
460,train,1783387891.7727764,3.669654130935669,3.669654130935669,,
470,train,1783387894.110784,3.592954158782959,3.592954158782959,,
480,train,1783387896.4321268,3.6441781520843506,3.6441781520843506,,
