step,split,time_unix,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial,train_generator_loss_feature_matching,train_discriminator_loss,train_discriminator_loss_total,val_loss,val_generator_loss,val_discriminator_loss,val_mel_l1
0,validation,1783135044.7792277,,,,,,,,5.821693420410156,1031.8984680175781,1031.2236633300781,5.821693420410156
5,train,1783135060.650267,35.950416564941406,35.950416564941406,35.950416564941406,35.36383819580078,0.05865764617919922,57.22097396850586,57.22097396850586,,,,
10,train,1783135061.0646544,30.733966827392578,30.733966827392578,30.733966827392578,30.2311954498291,0.0502772331237793,56.4335823059082,56.4335823059082,,,,
15,train,1783135061.481472,29.131511688232422,29.131511688232422,29.131511688232422,28.610347747802734,0.05211639404296875,56.16557693481445,56.16557693481445,,,,
20,train,1783135061.8967235,29.449914932250977,29.449914932250977,29.449914932250977,28.90579605102539,0.054411888122558594,55.971153259277344,55.971153259277344,,,,
25,train,1783135062.3137364,29.529407501220703,29.529407501220703,29.529407501220703,28.88785171508789,0.06415557861328125,55.9267578125,55.9267578125,,,,
30,train,1783135062.7302337,29.28398895263672,29.28398895263672,29.28398895263672,28.670738220214844,0.0613250732421875,55.65027618408203,55.65027618408203,,,,
35,train,1783135063.1465342,29.138490676879883,29.138490676879883,29.138490676879883,28.49176597595215,0.06467247009277344,55.455665588378906,55.455665588378906,,,,
40,train,1783135063.562287,29.91770362854004,29.91770362854004,29.91770362854004,29.195323944091797,0.07223796844482422,55.23690414428711,55.23690414428711,,,,
45,train,1783135063.9779124,26.0449161529541,26.0449161529541,26.0449161529541,25.24119758605957,0.08037185668945312,55.15377426147461,55.15377426147461,,,,
50,train,1783135064.4246213,28.263351440429688,28.263351440429688,28.263351440429688,27.434036254882812,0.0829315185546875,55.832427978515625,55.832427978515625,,,,
55,train,1783135064.8409839,32.45345687866211,32.45345687866211,32.45345687866211,29.251781463623047,0.32016754150390625,54.6248664855957,54.6248664855957,,,,
60,train,1783135065.2627742,27.794923782348633,27.794923782348633,27.794923782348633,26.728830337524414,0.10660934448242188,54.078453063964844,54.078453063964844,,,,
65,train,1783135065.6768394,28.929798126220703,28.929798126220703,28.929798126220703,27.920734405517578,0.1009063720703125,56.931419372558594,56.931419372558594,,,,
70,train,1783135066.090172,29.375747680664062,29.375747680664062,29.375747680664062,27.071212768554688,0.2304534912109375,58.66150665283203,58.66150665283203,,,,
75,train,1783135066.503969,32.10068893432617,32.10068893432617,32.10068893432617,29.582836151123047,0.2517852783203125,55.59967041015625,55.59967041015625,,,,
80,train,1783135066.9173322,25.74973487854004,25.74973487854004,25.74973487854004,24.659494400024414,0.1090240478515625,54.82291793823242,54.82291793823242,,,,
85,train,1783135067.3337324,28.23065185546875,28.23065185546875,28.23065185546875,27.473215103149414,0.0757436752319336,55.46038055419922,55.46038055419922,,,,
90,train,1783135067.7474916,30.936220169067383,30.936220169067383,30.936220169067383,29.470155715942383,0.1466064453125,55.62238693237305,55.62238693237305,,,,
95,train,1783135068.161352,26.082828521728516,26.082828521728516,26.082828521728516,24.903257369995117,0.11795711517333984,56.2669563293457,56.2669563293457,,,,
100,train,1783135068.6080594,29.887557983398438,29.887557983398438,29.887557983398438,28.52178192138672,0.13657760620117188,54.81864547729492,54.81864547729492,,,,
105,train,1783135069.0252984,31.54884910583496,31.54884910583496,31.54884910583496,30.804410934448242,0.07444381713867188,55.4260139465332,55.4260139465332,,,,
110,train,1783135069.4415107,29.11301612854004,29.11301612854004,29.11301612854004,28.280668258666992,0.08323478698730469,55.86265182495117,55.86265182495117,,,,
115,train,1783135069.8566184,31.02606201171875,31.02606201171875,31.02606201171875,29.315475463867188,0.17105865478515625,56.146697998046875,56.146697998046875,,,,
120,train,1783135070.2703803,29.768972396850586,29.768972396850586,29.768972396850586,28.728342056274414,0.10406303405761719,54.32468032836914,54.32468032836914,,,,
125,train,1783135070.6837933,29.674440383911133,29.674440383911133,29.674440383911133,28.92740821838379,0.07470321655273438,54.75737762451172,54.75737762451172,,,,
130,train,1783135071.096606,29.986774444580078,29.986774444580078,29.986774444580078,29.13022232055664,0.08565521240234375,54.85163879394531,54.85163879394531,,,,
135,train,1783135071.509911,31.023780822753906,31.023780822753906,31.023780822753906,29.75217056274414,0.12716102600097656,54.94371795654297,54.94371795654297,,,,
140,train,1783135071.9232833,29.77232551574707,29.77232551574707,29.77232551574707,28.186899185180664,0.15854263305664062,55.68732452392578,55.68732452392578,,,,
145,train,1783135072.337275,30.307239532470703,30.307239532470703,30.307239532470703,28.96175765991211,0.13454818725585938,53.70621871948242,53.70621871948242,,,,
150,train,1783135072.7839568,24.265579223632812,24.265579223632812,24.265579223632812,23.459877014160156,0.08057022094726562,54.39899826049805,54.39899826049805,,,,
155,train,1783135073.2008145,29.36690330505371,29.36690330505371,29.36690330505371,28.460798263549805,0.09061050415039062,54.60557174682617,54.60557174682617,,,,
160,train,1783135073.616163,32.38833999633789,32.38833999633789,32.38833999633789,30.358768463134766,0.2029571533203125,58.880008697509766,58.880008697509766,,,,
165,train,1783135074.030276,30.60091209411621,30.60091209411621,30.60091209411621,28.98439598083496,0.161651611328125,53.64881134033203,53.64881134033203,,,,
170,train,1783135074.441014,29.582080841064453,29.582080841064453,29.582080841064453,28.774337768554688,0.08077430725097656,53.2487907409668,53.2487907409668,,,,
175,train,1783135074.8505692,29.254831314086914,29.254831314086914,29.254831314086914,28.32183265686035,0.09329986572265625,53.96122360229492,53.96122360229492,,,,
180,train,1783135075.263581,33.70853042602539,33.70853042602539,33.70853042602539,32.19260787963867,0.15159225463867188,55.061744689941406,55.061744689941406,,,,
185,train,1783135075.6790185,30.277984619140625,30.277984619140625,30.277984619140625,29.346664428710938,0.09313201904296875,53.037662506103516,53.037662506103516,,,,
190,train,1783135076.0913522,34.577903747558594,34.577903747558594,34.577903747558594,33.6567497253418,0.09211540222167969,53.703285217285156,53.703285217285156,,,,
195,train,1783135076.504083,27.9691104888916,27.9691104888916,27.9691104888916,26.506135940551758,0.14629745483398438,59.11712646484375,59.11712646484375,,,,
200,train,1783135076.9518015,33.751983642578125,33.751983642578125,33.751983642578125,31.918487548828125,0.183349609375,51.66216278076172,51.66216278076172,,,,
205,train,1783135077.3625705,25.189403533935547,25.189403533935547,25.189403533935547,24.419158935546875,0.07702445983886719,55.39954376220703,55.39954376220703,,,,
210,train,1783135077.7757893,27.50699234008789,27.50699234008789,27.50699234008789,26.47805404663086,0.10289382934570312,59.495849609375,59.495849609375,,,,
215,train,1783135078.19027,27.526317596435547,27.526317596435547,27.526317596435547,25.15792465209961,0.23683929443359375,69.15725708007812,69.15725708007812,,,,
220,train,1783135078.60785,29.551755905151367,29.551755905151367,29.551755905151367,27.678510665893555,0.18732452392578125,57.613243103027344,57.613243103027344,,,,
225,train,1783135079.0247974,31.05227279663086,31.05227279663086,31.05227279663086,30.122230529785156,0.09300422668457031,56.099666595458984,56.099666595458984,,,,
230,train,1783135079.4360447,29.054244995117188,29.054244995117188,29.054244995117188,28.227447509765625,0.08267974853515625,55.55583953857422,55.55583953857422,,,,
235,train,1783135079.8507853,27.843753814697266,27.843753814697266,27.843753814697266,27.009174346923828,0.08345794677734375,55.183326721191406,55.183326721191406,,,,
240,train,1783135080.2637742,29.121761322021484,29.121761322021484,29.121761322021484,28.382530212402344,0.07392311096191406,54.57883834838867,54.57883834838867,,,,
245,train,1783135080.6782835,28.666780471801758,28.666780471801758,28.666780471801758,27.479684829711914,0.11870956420898438,57.43582534790039,57.43582534790039,,,,
250,train,1783135081.1240854,31.40515899658203,31.40515899658203,31.40515899658203,30.01214599609375,0.13930130004882812,53.941219329833984,53.941219329833984,,,,
255,train,1783135081.532551,29.21924591064453,29.21924591064453,29.21924591064453,28.45165252685547,0.07675933837890625,54.18472671508789,54.18472671508789,,,,
260,train,1783135081.9474869,29.927295684814453,29.927295684814453,29.927295684814453,29.123233795166016,0.08040618896484375,54.53937530517578,54.53937530517578,,,,
265,train,1783135082.3627434,30.065441131591797,30.065441131591797,30.065441131591797,28.602046966552734,0.14633941650390625,59.00497055053711,59.00497055053711,,,,
270,train,1783135082.7715635,32.269168853759766,32.269168853759766,32.269168853759766,30.906063079833984,0.13631057739257812,53.594688415527344,53.594688415527344,,,,
275,train,1783135083.1847365,25.856718063354492,25.856718063354492,25.856718063354492,24.9751033782959,0.08816146850585938,54.70630645751953,54.70630645751953,,,,
280,train,1783135083.6026976,29.518875122070312,29.518875122070312,29.518875122070312,28.65412139892578,0.08647537231445312,53.78595733642578,53.78595733642578,,,,
285,train,1783135084.0160024,28.54317855834961,28.54317855834961,28.54317855834961,27.522212982177734,0.1020965576171875,55.79645919799805,55.79645919799805,,,,
290,train,1783135084.4290159,32.85805892944336,32.85805892944336,32.85805892944336,31.529972076416016,0.13280868530273438,52.20301818847656,52.20301818847656,,,,
295,train,1783135084.8435888,28.684146881103516,28.684146881103516,28.684146881103516,27.97894287109375,0.07052040100097656,53.395362854003906,53.395362854003906,,,,
300,train,1783135085.2927666,30.952789306640625,30.952789306640625,30.952789306640625,30.096141815185547,0.08566474914550781,52.539154052734375,52.539154052734375,,,,
305,train,1783135085.7071567,32.17454528808594,32.17454528808594,32.17454528808594,31.04169464111328,0.11328506469726562,55.22828674316406,55.22828674316406,,,,
310,train,1783135086.1202009,33.37223815917969,33.37223815917969,33.37223815917969,31.438875198364258,0.19333648681640625,60.54951095581055,60.54951095581055,,,,
315,train,1783135086.5344517,30.95285987854004,30.95285987854004,30.95285987854004,29.01407814025879,0.193878173828125,55.08171463012695,55.08171463012695,,,,
320,train,1783135086.9480476,29.115890502929688,29.115890502929688,29.115890502929688,28.06024932861328,0.10556411743164062,54.61869812011719,54.61869812011719,,,,
325,train,1783135087.3596833,31.80242156982422,31.80242156982422,31.80242156982422,30.98809814453125,0.08143234252929688,56.12730026245117,56.12730026245117,,,,
330,train,1783135087.7723598,30.34751319885254,30.34751319885254,30.34751319885254,29.31193733215332,0.10355758666992188,58.00613021850586,58.00613021850586,,,,
335,train,1783135088.1894255,31.881860733032227,31.881860733032227,31.881860733032227,29.849313735961914,0.20325469970703125,56.190643310546875,56.190643310546875,,,,
340,train,1783135088.6044233,27.865171432495117,27.865171432495117,27.865171432495117,26.977128982543945,0.08880424499511719,55.56986618041992,55.56986618041992,,,,
345,train,1783135089.0172076,29.981794357299805,29.981794357299805,29.981794357299805,29.227285385131836,0.07545089721679688,55.28192901611328,55.28192901611328,,,,
350,train,1783135089.4644167,29.928306579589844,29.928306579589844,29.928306579589844,29.13702392578125,0.07912826538085938,53.90333557128906,53.90333557128906,,,,
355,train,1783135089.874279,28.247106552124023,28.247106552124023,28.247106552124023,27.48073387145996,0.07663726806640625,54.336570739746094,54.336570739746094,,,,
360,train,1783135090.2874992,31.881343841552734,31.881343841552734,31.881343841552734,29.789974212646484,0.209136962890625,56.9695930480957,56.9695930480957,,,,
365,train,1783135090.7026455,25.49134063720703,25.49134063720703,25.49134063720703,24.256980895996094,0.12343597412109375,54.854217529296875,54.854217529296875,,,,
370,train,1783135091.1175015,31.625350952148438,31.625350952148438,31.625350952148438,30.69933319091797,0.09260177612304688,55.21973419189453,55.21973419189453,,,,
375,train,1783135091.5317123,30.959880828857422,30.959880828857422,30.959880828857422,29.794605255126953,0.11652755737304688,55.778564453125,55.778564453125,,,,
380,train,1783135091.942881,30.510875701904297,30.510875701904297,30.510875701904297,29.374439239501953,0.11364364624023438,54.19974136352539,54.19974136352539,,,,
385,train,1783135092.3518672,23.83613395690918,23.83613395690918,23.83613395690918,22.91999626159668,0.09161376953125,54.242679595947266,54.242679595947266,,,,
390,train,1783135096.8927681,29.908828735351562,29.908828735351562,29.908828735351562,29.115524291992188,0.0793304443359375,52.46091842651367,52.46091842651367,,,,
395,train,1783135097.4114337,34.30243682861328,34.30243682861328,34.30243682861328,33.439247131347656,0.0863189697265625,53.65584945678711,53.65584945678711,,,,
400,train,1783135097.8599892,33.834659576416016,33.834659576416016,33.834659576416016,30.573856353759766,0.326080322265625,65.6684341430664,65.6684341430664,,,,
405,train,1783135098.2725067,38.0922737121582,38.0922737121582,38.0922737121582,36.13640213012695,0.195587158203125,55.64193344116211,55.64193344116211,,,,
410,train,1783135098.6844692,29.729007720947266,29.729007720947266,29.729007720947266,28.669971466064453,0.10590362548828125,54.90892791748047,54.90892791748047,,,,
415,train,1783135099.0983489,31.694217681884766,31.694217681884766,31.694217681884766,30.782466888427734,0.09117507934570312,54.86898422241211,54.86898422241211,,,,
420,train,1783135099.5100186,28.19313621520996,28.19313621520996,28.19313621520996,27.195707321166992,0.09974288940429688,54.7882194519043,54.7882194519043,,,,
425,train,1783135099.9260845,26.838939666748047,26.838939666748047,26.838939666748047,25.431316375732422,0.1407623291015625,57.721763610839844,57.721763610839844,,,,
430,train,1783135100.3392894,31.979759216308594,31.979759216308594,31.979759216308594,29.76532745361328,0.22144317626953125,53.27521514892578,53.27521514892578,,,,
435,train,1783135100.7542071,30.065839767456055,30.065839767456055,30.065839767456055,29.19133949279785,0.08745002746582031,55.309471130371094,55.309471130371094,,,,
440,train,1783135101.1649249,28.454631805419922,28.454631805419922,28.454631805419922,27.587474822998047,0.0867156982421875,54.71644592285156,54.71644592285156,,,,
445,train,1783135101.5774913,29.85922622680664,29.85922622680664,29.85922622680664,28.798206329345703,0.10610198974609375,56.14097595214844,56.14097595214844,,,,
450,train,1783135102.0247962,30.673646926879883,30.673646926879883,30.673646926879883,28.727235794067383,0.19464111328125,54.88572311401367,54.88572311401367,,,,
