step,split,time_unix,train_loss,train_generator_loss,train_generator_loss_total,train_generator_loss_adversarial,train_generator_loss_amplitude,train_generator_loss_consistency,train_generator_loss_feature_matching,train_generator_loss_mel,train_generator_loss_phase,train_generator_loss_real_imaginary,train_discriminator_loss,train_discriminator_loss_total,train_discriminator_loss_period,train_discriminator_loss_resolution,val_loss,val_loss_total,val_loss_amplitude,val_loss_consistency,val_loss_mel,val_loss_phase,val_loss_real_imaginary
0,validation,1783387802.1756322,,,,,,,,,,,,,,,1645.0557250976562,1645.0557250976562,17.330937385559082,4.675742864608765,2.2745449542999268,4.6703808307647705,1.896945297718048
5,train,1783387820.0331292,,,,,,,,,,,15.97265625,15.97265625,9.9921875,5.98046875,,,,,,,
10,train,1783387820.667051,1034.2738037109375,1034.2738037109375,1034.2738037109375,7.765625,10.22411823272705,0.7655134201049805,0.7474170327186584,1.246060848236084,4.4375,0.6923226118087769,,,,,,,,,,,
15,train,1783387821.2290149,,,,,,,,,,,15.75390625,15.75390625,9.890625,5.86328125,,,,,,,
20,train,1783387821.860163,802.180419921875,802.180419921875,802.180419921875,8.3984375,6.078517436981201,0.5570681095123291,1.6226657629013062,0.7805865406990051,4.34375,0.542922854423523,,,,,,,,,,,
25,train,1783387822.419338,,,,,,,,,,,14.755615234375,14.755615234375,9.575927734375,5.1796875,,,,,,,
30,train,1783387823.0594735,699.3285522460938,699.3285522460938,699.3285522460938,8.7578125,4.142764568328857,0.5741608142852783,4.414127349853516,0.6324384212493896,4.25,0.4763384163379669,,,,,,,,,,,
35,train,1783387823.6231694,,,,,,,,,,,13.099609375,13.099609375,9.369140625,3.73046875,,,,,,,
40,train,1783387824.2561285,628.7662353515625,628.7662353515625,628.7662353515625,13.1484375,2.478740692138672,0.5577677488327026,11.469990730285645,0.49400296807289124,4.25,0.47277432680130005,,,,,,,,,,,
45,train,1783387824.8249834,,,,,,,,,,,11.78125,11.78125,9.2705078125,2.5107421875,,,,,,,
50,train,1783387825.4965587,625.2994995117188,625.2994995117188,625.2994995117188,16.484375,1.9827293157577515,0.5969557762145996,26.944053649902344,0.46118685603141785,4.21875,0.5118184685707092,,,,,,,,,,,
55,train,1783387826.0578926,,,,,,,,,,,11.32470703125,11.32470703125,9.0859375,2.23876953125,,,,,,,
60,train,1783387826.6918457,622.8280029296875,622.8280029296875,622.8280029296875,19.1259765625,1.8266514539718628,0.4821694493293762,38.56305694580078,0.4575038552284241,4.1875,0.5034310817718506,,,,,,,,,,,
65,train,1783387827.258019,,,,,,,,,,,10.73388671875,10.73388671875,9.1201171875,1.61376953125,,,,,,,
70,train,1783387827.896872,634.4738159179688,634.4738159179688,634.4738159179688,20.2109375,1.7646771669387817,0.5652005076408386,48.08443832397461,0.45915085077285767,4.1875,0.5038259029388428,,,,,,,,,,,
75,train,1783387828.4601128,,,,,,,,,,,10.2216796875,10.2216796875,8.78125,1.4404296875,,,,,,,
80,train,1783387829.0978074,632.1932983398438,632.1932983398438,632.1932983398438,24.97265625,1.5802619457244873,0.5481107234954834,50.791812896728516,0.45312631130218506,4.1875,0.4946966767311096,,,,,,,,,,,
85,train,1783387829.6605186,,,,,,,,,,,9.7177734375,9.7177734375,8.609375,1.1083984375,,,,,,,
90,train,1783387830.2965667,638.691650390625,638.691650390625,638.691650390625,22.828125,1.5875778198242188,0.6073072552680969,55.386932373046875,0.4551655352115631,4.1875,0.5160953998565674,,,,,,,,,,,
95,train,1783387830.8597112,,,,,,,,,,,10.0513916015625,10.0513916015625,8.5546875,1.4967041015625,,,,,,,
100,train,1783387831.5376728,616.0189208984375,616.0189208984375,616.0189208984375,23.1875,1.5038329362869263,0.4436624050140381,47.2174072265625,0.4434562921524048,4.1875,0.4449160695075989,,,,,,,,,,,
105,train,1783387832.0987916,,,,,,,,,,,9.65350341796875,9.65350341796875,8.451171875,1.20233154296875,,,,,,,
110,train,1783387832.7346094,633.0858154296875,633.0858154296875,633.0858154296875,22.69140625,1.525862693786621,0.5592911243438721,54.403114318847656,0.45412373542785645,4.1875,0.5271956324577332,,,,,,,,,,,
115,train,1783387833.2996864,,,,,,,,,,,10.232177734375,10.232177734375,8.72265625,1.509521484375,,,,,,,
120,train,1783387833.9358988,618.8048095703125,618.8048095703125,618.8048095703125,24.3359375,1.4308009147644043,0.514491856098175,46.523040771484375,0.4418565630912781,4.1875,0.50053471326828,,,,,,,,,,,
125,train,1783387834.4982336,,,,,,,,,,,9.854736328125,9.854736328125,8.3671875,1.487548828125,,,,,,,
130,train,1783387835.1355157,598.5697631835938,598.5697631835938,598.5697631835938,20.90234375,1.2626450061798096,0.4377346336841583,44.67196273803711,0.42131367325782776,4.15625,0.4782068729400635,,,,,,,,,,,
135,train,1783387835.705097,,,,,,,,,,,9.779296875,9.779296875,8.458984375,1.3203125,,,,,,,
140,train,1783387836.3399377,600.840576171875,600.840576171875,600.840576171875,21.9375,1.2714073657989502,0.4602837562561035,43.639259338378906,0.42097723484039307,4.15625,0.49763908982276917,,,,,,,,,,,
145,train,1783387836.9055836,,,,,,,,,,,9.988037109375,9.988037109375,8.4375,1.550537109375,,,,,,,
150,train,1783387837.5768976,583.4967651367188,583.4967651367188,583.4967651367188,19.7109375,1.1023845672607422,0.4495992064476013,39.2491569519043,0.3987158238887787,4.15625,0.4612264633178711,,,,,,,,,,,
155,train,1783387838.13798,,,,,,,,,,,9.966064453125,9.966064453125,8.162109375,1.803955078125,,,,,,,
160,train,1783387838.7760355,589.2505493164062,589.2505493164062,589.2505493164062,21.16015625,1.0969125032424927,0.5097310543060303,39.11125183105469,0.39107000827789307,4.15625,0.512933075428009,,,,,,,,,,,
165,train,1783387839.3409638,,,,,,,,,,,9.28466796875,9.28466796875,7.83203125,1.45263671875,,,,,,,
170,train,1783387839.9765522,564.3368530273438,564.3368530273438,564.3368530273438,17.125,0.9638711810112,0.4331459105014801,35.450340270996094,0.3705528974533081,4.125,0.4493529200553894,,,,,,,,,,,
175,train,1783387840.5385544,,,,,,,,,,,10.25244140625,10.25244140625,8.767578125,1.48486328125,,,,,,,
180,train,1783387841.174453,573.4592895507812,573.4592895507812,573.4592895507812,18.078125,0.9725868105888367,0.4888535737991333,34.43284225463867,0.38144776225090027,4.15625,0.4892955422401428,,,,,,,,,,,
185,train,1783387841.7383404,,,,,,,,,,,10.28271484375,10.28271484375,8.396484375,1.88623046875,,,,,,,
190,train,1783387842.3764682,550.39892578125,550.39892578125,550.39892578125,19.5390625,0.876141369342804,0.35563260316848755,27.522729873657227,0.3580375909805298,4.125,0.43990230560302734,,,,,,,,,,,
195,train,1783387842.9413657,,,,,,,,,,,10.1064453125,10.1064453125,8.369140625,1.7373046875,,,,,,,
200,train,1783387843.6140647,561.1593017578125,561.1593017578125,561.1593017578125,19.1328125,0.8860945105552673,0.413877934217453,33.079444885253906,0.3746780753135681,4.125,0.47972846031188965,,,,,,,,,,,
205,train,1783387844.179488,,,,,,,,,,,10.266845703125,10.266845703125,8.421875,1.844970703125,,,,,,,
210,train,1783387844.8156226,547.8934936523438,547.8934936523438,547.8934936523438,18.3515625,0.8061866164207458,0.3910359740257263,27.89351463317871,0.34683388471603394,4.125,0.44813215732574463,,,,,,,,,,,
215,train,1783387845.379663,,,,,,,,,,,9.6337890625,9.6337890625,7.94921875,1.6845703125,,,,,,,
220,train,1783387846.0166214,550.8296508789062,550.8296508789062,550.8296508789062,19.09375,0.8130677342414856,0.3809382915496826,28.370439529418945,0.36203351616859436,4.125,0.4743049144744873,,,,,,,,,,,
225,train,1783387846.5800307,,,,,,,,,,,9.6168212890625,9.6168212890625,8.08203125,1.5347900390625,,,,,,,
230,train,1783387847.2153635,546.28125,546.28125,546.28125,17.3359375,0.8104444742202759,0.3959496021270752,26.770488739013672,0.3505612015724182,4.09375,0.49137306213378906,,,,,,,,,,,
235,train,1783387847.7801833,,,,,,,,,,,9.48388671875,9.48388671875,8.126953125,1.35693359375,,,,,,,
240,train,1783387848.4176888,539.9371948242188,539.9371948242188,539.9371948242188,17.5703125,0.7889691591262817,0.36934536695480347,24.90024185180664,0.3562729060649872,4.09375,0.429115355014801,,,,,,,,,,,
245,train,1783387848.9870715,,,,,,,,,,,10.125732421875,10.125732421875,8.361328125,1.764404296875,,,,,,,
250,train,1783387849.6612577,549.824951171875,549.824951171875,549.824951171875,17.640625,0.8120912313461304,0.478147029876709,25.6122989654541,0.36155927181243896,4.09375,0.4942473769187927,,,,,,,,,,,
