step,time_unix,split,learning_rate_discriminator,learning_rate_generator,train_discriminator_loss,train_discriminator_loss_period,train_discriminator_loss_resolution,train_discriminator_loss_total,train_generator_loss,train_generator_loss_feature_matching_period,train_generator_loss_feature_matching_resolution,train_generator_loss_mel,train_generator_loss_period_adversarial,train_generator_loss_resolution_adversarial,train_generator_loss_total,train_loss,val_loss,val_validation_loss_mel,val_validation_loss_total
0,1783408893.1747825,validation,,,,,,,,,,,,,,,101.43994522094727,2.254220962524414,101.43994522094727
5,1783408922.5141273,train,0.0004999999995049369,0.0004999999995049369,2.084993600845337,1.8938477039337158,1.9114583730697632,2.084993600845337,69.28521728515625,0.19285200536251068,3.163003444671631,1.4929808378219604,1.4609375,1.3098958730697632,69.28521728515625,69.28521728515625,,,
10,1783408923.626722,train,0.0004999999980197475,0.0004999999980197475,2.428926706314087,2.24285888671875,1.8606771230697632,2.428926706314087,52.64723205566406,0.22745661437511444,4.848004341125488,1.131619930267334,0.86181640625,1.5026042461395264,52.64723205566406,52.64723205566406,,,
15,1783408924.620267,train,0.0004999999955444316,0.0004999999955444316,2.0728840827941895,1.8997070789337158,1.7317708730697632,2.0728840827941895,47.70716857910156,0.14254902303218842,8.599748611450195,1.0044608116149902,1.3507813215255737,1.53125,47.70716857910156,47.70716857910156,,,
20,1783408925.5405216,train,0.0004999999920789896,0.0004999999920789896,1.9854167699813843,1.8308594226837158,1.5455729961395264,1.9854167699813843,42.392669677734375,0.30852457880973816,11.11275863647461,0.8845474720001221,0.964062511920929,2.0416667461395264,42.392669677734375,42.392669677734375,,,
25,1783408926.438945,train,0.0004999999876234213,0.0004999999876234213,2.019987106323242,1.888085961341858,1.3190104961395264,2.019987106323242,42.7020378112793,0.3343449532985687,15.531092643737793,0.8716551065444946,1.3328125476837158,2.5729167461395264,42.7020378112793,42.7020378112793,,,
30,1783408927.344145,train,0.0004999999821777267,0.0004999999821777267,1.941015601158142,1.826171875,1.1484375,1.941015601158142,41.38939666748047,0.3562811315059662,18.879749298095703,0.832374632358551,1.3703125715255737,3.1796875,41.38939666748047,41.38939666748047,,,
35,1783408928.8725502,train,0.0004999999757419059,0.0004999999757419059,1.9488933086395264,1.844140648841858,1.0475261211395264,1.9488933086395264,41.95860290527344,0.314694344997406,20.726417541503906,0.8376832604408264,1.49609375,3.7942709922790527,41.95860290527344,41.95860290527344,,,
40,1783408930.1428046,train,0.0004999999683159589,0.0004999999683159589,1.8959636688232422,1.8156250715255737,0.8033854365348816,1.8959636688232422,39.60195541381836,0.33027568459510803,29.18783187866211,0.7663260102272034,1.279687523841858,5.8854169845581055,39.60195541381836,39.60195541381836,,,
45,1783408932.066225,train,0.0004999999598998856,0.0004999999598998856,1.9309570789337158,1.85546875,0.7548828125,1.9309570789337158,39.14897918701172,0.31492385268211365,30.42251205444336,0.7563138604164124,1.144140601158142,6.1354169845581055,39.14897918701172,39.14897918701172,,,
50,1783408934.0398922,train,0.0004999999504936862,0.0004999999504936862,1.9333007335662842,1.864843726158142,0.6845703125,1.9333007335662842,37.222755432128906,0.30185362696647644,33.55399703979492,0.7069822549819946,1.0554687976837158,6.958333492279053,37.222755432128906,37.222755432128906,,,
55,1783408935.5393713,train,0.0004999999400973606,0.0004999999400973606,1.9157227277755737,1.8390625715255737,0.7666015625,1.9157227277755737,38.30069351196289,0.27763688564300537,30.211956024169922,0.7396941184997559,1.1125000715255737,6.03125,38.30069351196289,38.30069351196289,,,
60,1783408937.3871865,train,0.000499999928710909,0.000499999928710909,1.9655110836029053,1.8972656726837158,0.6824544668197632,1.9655110836029053,36.862152099609375,0.289311945438385,32.71417999267578,0.6973233222961426,1.2421875,6.796875,36.862152099609375,36.862152099609375,,,
65,1783408938.6117885,train,0.0004999999163343313,0.0004999999163343313,1.8203777074813843,1.7566406726837158,0.6373698115348816,1.8203777074813843,36.166961669921875,0.40049201250076294,31.40576934814453,0.6856333017349243,1.1015625,6.708333492279053,36.166961669921875,36.166961669921875,,,
70,1783408940.9368045,train,0.0004999999029676279,0.0004999999029676279,1.8719239234924316,1.7937500476837158,0.78173828125,1.8719239234924316,34.921348571777344,0.3604951798915863,26.847089767456055,0.6683297753334045,1.216406226158142,5.848958492279053,34.921348571777344,34.921348571777344,,,
75,1783408943.106271,train,0.0004999998886107983,0.0004999998886107983,1.8594075441360474,1.791406273841858,0.6800130605697632,1.8594075441360474,33.94137954711914,0.3826441466808319,30.038047790527344,0.6345945000648499,1.3289062976837158,6.692708492279053,33.94137954711914,33.94137954711914,,,
