run_id,date,architecture_name,dataset_name,variant_name,lane,seed,status,parameter_count,residual_parameter_count,model_size_megabytes,deployable_size_megabytes,macs_per_second_audio,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,mel_error,multi_resolution_stft_error,pesq,stoi,mcd,f0_rmse_cents,periodicity_rmse,vuv_f1,utmos_strong,las_rmse,test_utterance_count,timed_utterance_count,rtf_warmup_iterations,rtf_repetitions_executed,pesq_failure_count,stoi_failure_count,mel_error_failure_count,multi_resolution_stft_error_failure_count,mcd_failure_count,las_rmse_failure_count,utmos_strong_failure_count,session_build_seconds,mac_status,group_pesq_delta,group_rtf_speedup,group_size_ratio,classification,classification_basis
s2_apnet2_baseline_b200_s42_20260721_1918,2026-07-21,apnet2,ljspeech,baseline_b200,b200,42,completed,31425539.0,31425539.0,119.8789176940918,119.93691539764404,2.728631808,0.000584820585107159,3.6206188201904297,4.29275369644165,7200.30078125,0.35640851531709944,1.17693106901078,2.581321891603016,0.9300289082511238,9.86103984872933,39.702909101531496,0.1691768644643508,0.9344856892561552,3.104831383114769,7.880674701872326,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_apnet2_baseline_b200_s43_20260721_1918,2026-07-21,apnet2,ljspeech,baseline_b200,b200,43,completed,31425539.0,31425539.0,119.8789176940918,119.93691539764404,2.728631808,0.0005546816697692798,3.6420140266418457,4.173142910003662,7226.203125,0.35640842290151686,1.1769309420812697,2.5813220546359106,0.9300289087459926,9.861039512630391,39.71405917446767,0.1691688928446674,0.9345254751002241,3.104827251434326,7.880674359457833,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_apnet2_baseline_b200_s44_20260721_1918,2026-07-22,apnet2,ljspeech,baseline_b200,b200,44,completed,31425539.0,31425539.0,119.8789176940918,119.93691539764404,2.728631808,0.0005916652561759058,3.6883389949798584,4.467122554779053,7157.7890625,0.3564084292025793,1.1769309488932291,2.58132204691569,0.9300289089446159,9.861039569809048,39.74692777574094,0.16917684991068943,0.9345135983263598,3.1048298372541154,7.880674149649484,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_apnet2_baseline_cpu_s42_20260721_0649,2026-07-21,apnet2,ljspeech,baseline_cpu,cpu,42,completed,31425539.0,31425539.0,119.8789176940918,119.93459606170654,2.728631808,0.015607489395327825,104.33191680908203,136.19998168945312,9872.34375,0.3563748784859975,1.1753157197861444,2.5801595297313873,0.9300273207652885,9.860419532812129,40.05514773087854,0.1692324004680997,0.9345099884949273,3.1052500720251173,7.857773818969727,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_apnet2_baseline_cpu_s43_20260721_0649,2026-07-21,apnet2,ljspeech,baseline_cpu,cpu,43,completed,31425539.0,31425539.0,119.8789176940918,119.93459606170654,2.728631808,0.017281438809590682,115.63105010986328,158.16082763671875,9818.3359375,0.3563747497399648,1.1753156559807914,2.5801621929804486,0.9300273067752247,9.860419592779989,40.076781840916226,0.16923243056968423,0.9345497714602488,3.105248303186326,7.857773045131139,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_apnet2_baseline_cpu_s44_20260721_0649,2026-07-21,apnet2,ljspeech,baseline_cpu,cpu,44,completed,31425539.0,31425539.0,119.8789176940918,119.93459606170654,2.728631808,0.015090825616620967,100.07235717773438,131.27227783203125,9810.42578125,0.3563748784859975,1.1753157197861444,2.5801595297313873,0.9300273207652885,9.860419532812129,40.110566478787455,0.1692324004680997,0.9345399966529997,3.1052500720251173,7.857773818969727,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_apnet2_fp16_weights_s42_20260721_1443,2026-07-21,apnet2,ljspeech,fp16_weights,b200,42,completed,31425539.0,31425539.0,59.9394588470459,60.00008678436279,2.728631808,0.0004659302621032425,2.8552374839782715,3.8033766746520996,10489.40625,0.3562903990632012,1.1767799406959898,2.5799394775572275,0.9300328846265613,9.86013137050694,39.70598249722276,0.16913124389501902,0.9345232803208987,3.1048739369710288,7.880427886417934,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.0013825201609778404,1.084591494623788,0.5002637143487967,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_apnet2_fp16_weights_s43_20260721_1443,2026-07-21,apnet2,ljspeech,fp16_weights,b200,43,completed,31425539.0,31425539.0,59.9394588470459,60.00008678436279,2.728631808,0.0006683551325740238,4.178256511688232,5.03206729888916,10675.921875,0.3562904015041533,1.176779936608814,2.5799394775572275,0.9300328846265613,9.86013061881678,39.71525221763893,0.16913124923150535,0.934565851234915,3.104871519179571,7.88042782556443,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.0013825201609778404,1.084591494623788,0.5002637143487967,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_apnet2_fp16_weights_s44_20260721_1443,2026-07-21,apnet2,ljspeech,fp16_weights,b200,44,completed,31425539.0,31425539.0,59.9394588470459,60.00008678436279,2.728631808,0.00046186165205283386,2.8624539375305176,3.713975667953491,10592.80859375,0.3562903990632012,1.1767799406959898,2.5799394775572275,0.9300328846265613,9.86013137050694,39.74781776292179,0.16913124388559891,0.9345522151940109,3.104872708547683,7.880427886417934,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.0013825201609778404,1.084591494623788,0.5002637143487967,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_apnet2_int8_dynamic_s42_20260721_0649,2026-07-21,apnet2,ljspeech,int8_dynamic,cpu,42,completed,31425539.0,6226947.0,23.753917694091797,47.95662975311279,,0.011805004587497763,79.98765563964844,98.7499771118164,9825.1796875,0.4178063516389756,1.2858942976452055,2.584163503419785,0.9222689274140227,13.708117857808041,41.77073598202562,0.16637738040288663,0.9335099102950799,3.048795867193313,8.2899667767116,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,0.004003085938710793,1.4164043657710368,0.3998565162002049,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_apnet2_int8_dynamic_s43_20260721_0649,2026-07-21,apnet2,ljspeech,int8_dynamic,cpu,43,completed,31425539.0,6226947.0,23.753917694091797,47.95662975311279,,0.010880075616313194,73.38699340820312,92.98826599121094,9809.0625,0.4178063516389756,1.2858942976452055,2.584163503419785,0.9222689274140227,13.708117857808041,41.81636424544534,0.16637738040288663,0.9334998357570038,3.048795867193313,8.2899667767116,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,0.004003085938710793,1.4164043657710368,0.3998565162002049,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_apnet2_int8_dynamic_s44_20260721_0649,2026-07-21,apnet2,ljspeech,int8_dynamic,cpu,44,completed,31425539.0,6226947.0,23.753917694091797,47.95662975311279,,0.011189253271164682,75.81874084472656,93.42753601074219,9741.5,0.4178063516389756,1.2858942976452055,2.584163503419785,0.9222689274140227,13.708117857808041,41.84942955719423,0.16637738040288663,0.9334834940522277,3.048795867193313,8.2899667767116,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,0.004003085938710793,1.4164043657710368,0.3998565162002049,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_apnet2_pruned_50_s42_20260721_1443,2026-07-21,apnet2,ljspeech,pruned_50,b200,42,completed,31425539.0,31425539.0,119.8789176940918,119.9369764328003,2.728631808,0.0005380413104319903,3.554856777191162,4.032101631164551,8715.296875,2.6814622438521614,5.532610728854225,1.1963652999060495,0.820830927561033,61.781247044461345,38.97428793705868,0.32549412323241095,0.7706979941415806,1.312396267028082,29.20721655709403,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-1.384956697812156,0.8345829745110558,1.0000005088938302,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
s2_apnet2_pruned_50_s43_20260721_1443,2026-07-21,apnet2,ljspeech,pruned_50,b200,43,completed,31425539.0,31425539.0,119.8789176940918,119.9369764328003,2.728631808,0.0006895892747057676,4.60023832321167,4.813633441925049,8554.48046875,2.6814621975308373,5.532610704331171,1.1963652999060495,0.820830927561033,61.781242670991325,38.78705911927469,0.32549412237092373,0.7706128819479928,1.3123963458197458,29.207215612502324,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-1.384956697812156,0.8345829745110558,1.0000005088938302,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
s2_apnet2_pruned_50_s44_20260721_1443,2026-07-21,apnet2,ljspeech,pruned_50,b200,44,completed,31425539.0,31425539.0,119.8789176940918,119.9369764328003,2.728631808,0.0008466598855809346,4.74455451965332,8.342921257019043,8643.3359375,2.6814621975308373,5.532610704331171,1.1963652999060495,0.820830927561033,61.781242670991325,38.720654563258805,0.3254941223317652,0.7707056069557463,1.312396413485209,29.207215612502324,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-1.384956697812156,0.8345829745110558,1.0000005088938302,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
