run_id,date,architecture_name,dataset_name,variant_name,lane,seed,status,parameter_count,residual_parameter_count,model_size_megabytes,deployable_size_megabytes,macs_per_second_audio,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,mel_error,multi_resolution_stft_error,pesq,stoi,mcd,f0_rmse_cents,periodicity_rmse,vuv_f1,utmos_strong,las_rmse,test_utterance_count,timed_utterance_count,rtf_warmup_iterations,rtf_repetitions_executed,pesq_failure_count,stoi_failure_count,mel_error_failure_count,multi_resolution_stft_error_failure_count,mcd_failure_count,las_rmse_failure_count,utmos_strong_failure_count,session_build_seconds,mac_status,group_pesq_delta,group_rtf_speedup,group_size_ratio,classification,classification_basis
s2_freev_baseline_b200_s42_20260721_1918,2026-07-21,freev,ljspeech,baseline_b200,b200,42,completed,18220557.0,18220557.0,69.6624641418457,69.53965663909912,1.58550714,0.0004767826081458059,3.012519359588623,3.462524652481079,7201.21875,0.25168131899266016,1.0272896852947417,3.3790043767293296,0.9693072315984788,8.353818179119312,27.022470752901583,0.12866662788686203,0.9527484116572781,3.7845099535442532,7.789677116757347,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_freev_baseline_b200_s43_20260721_1918,2026-07-22,freev,ljspeech,baseline_b200,b200,43,completed,18220557.0,18220557.0,69.6624641418457,69.53965663909912,1.58550714,0.0003867926121225035,2.385613203048706,3.1333253383636475,7161.91796875,0.2516814148142224,1.0272898154031662,3.379005152838571,0.9693072250442295,8.353826422608236,27.00699038910857,0.12866589370150225,0.9528170119069973,3.7844979549589612,7.7896789378211615,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_freev_baseline_b200_s44_20260721_1918,2026-07-21,freev,ljspeech,baseline_b200,b200,44,completed,18220557.0,18220557.0,69.6624641418457,69.53965663909912,1.58550714,0.0003877181686598592,2.416053295135498,3.137404680252075,7162.8515625,0.2516814151548204,1.0272898160843622,3.379005204609462,0.9693072251714243,8.353826472813887,27.040276058683403,0.12866588355154474,0.9528339013568259,3.784497331891741,7.7896789305550715,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_freev_baseline_cpu_s42_20260721_0649,2026-07-21,freev,ljspeech,baseline_cpu,cpu,42,completed,18220557.0,18220557.0,69.6624641418457,69.53831386566162,1.58550714,0.009263520916246437,61.47587585449219,80.99959564208984,9814.171875,0.25168502716791064,1.0260393467403595,3.379689444587344,0.9693072848158826,8.353609718284606,27.018152033101035,0.12864545253293386,0.9527055355640894,3.7847068046388173,7.779877088637579,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_freev_baseline_cpu_s43_20260721_0649,2026-07-21,freev,ljspeech,baseline_cpu,cpu,43,completed,18220557.0,18220557.0,69.6624641418457,69.53831386566162,1.58550714,0.008354721498708625,55.94670104980469,74.70451354980469,10087.0703125,0.25168502716791064,1.0260393467403595,3.379689444587344,0.9693072848158826,8.353609718284606,27.001660339665317,0.12864545253293386,0.9527866305524904,3.7847068046388173,7.779877088637579,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_freev_baseline_cpu_s44_20260721_0649,2026-07-21,freev,ljspeech,baseline_cpu,cpu,44,completed,18220557.0,18220557.0,69.6624641418457,69.53831386566162,1.58550714,0.008946423058071295,59.36618423461914,78.09284210205078,9747.4453125,0.25168502716791064,1.0260393467403595,3.379689444587344,0.9693072848158826,8.353609718284606,27.03485302669549,0.12864545253293386,0.9527937178323126,3.7847068046388173,7.779877088637579,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_freev_int8_dynamic_s42_20260721_0649,2026-07-21,freev,ljspeech,int8_dynamic,cpu,42,completed,18220557.0,4043276.0,15.580429077148438,29.04196834564209,,0.006674847961131931,45.057472229003906,56.61534118652344,9819.17578125,0.2600424265861511,1.0409630432583037,3.2568164639245896,0.964669336843881,8.776950149456837,27.17655271919837,0.1314445608032771,0.9511717340426629,3.5407828753335133,7.8218872978573755,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,-0.12287298066275465,1.3025205939875617,0.4176398122299477,harmful,Mean PESQ decreased by more than 0.10 against the same-lane denominator.
s2_freev_int8_dynamic_s43_20260721_0649,2026-07-21,freev,ljspeech,int8_dynamic,cpu,43,completed,18220557.0,4043276.0,15.580429077148438,29.04196834564209,,0.006992043116152708,47.312782287597656,58.727989196777344,9822.31640625,0.2600424265861511,1.0409630432583037,3.2568164639245896,0.964669336843881,8.776950149456837,27.31764178612414,0.1314445608032771,0.9511285462798053,3.5407828753335133,7.8218872978573755,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,-0.12287298066275465,1.3025205939875617,0.4176398122299477,harmful,Mean PESQ decreased by more than 0.10 against the same-lane denominator.
s2_freev_int8_dynamic_s44_20260721_0649,2026-07-21,freev,ljspeech,int8_dynamic,cpu,44,completed,18220557.0,4043276.0,15.580429077148438,29.04196834564209,,0.006727923097361749,45.52259063720703,56.71202087402344,9880.82421875,0.2600424265861511,1.0409630432583037,3.2568164639245896,0.964669336843881,8.776950149456837,27.208670170357053,0.1314445608032771,0.9511040318361182,3.5407828753335133,7.8218872978573755,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,-0.12287298066275465,1.3025205939875617,0.4176398122299477,harmful,Mean PESQ decreased by more than 0.10 against the same-lane denominator.
s2_freev_int8_weight_only_s42_20260722_0728,2026-07-22,freev,ljspeech,int8_weight_only,b200,42,completed,18220557.0,18220557.0,69.6624641418457,29.25595760345459,1.58550714,0.00040200478048277495,2.505079746246338,3.3566019535064697,7176.36328125,0.25165385243438537,1.0274729215531122,3.3775159145536877,0.9691973902564877,8.353555688636847,27.14390924655361,0.12847024594904552,0.9527661292188709,3.7826069100697834,7.790286570049467,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.0014923787495453311,0.8513803249310682,0.4207089740935712,inconclusive,The measured quality–speed–size trade-off does not cross the descriptive benefit or harm thresholds.
