architecture_name,variant_name,lane,baseline_variant,metric,statistical_unit,seed_handling,n,mean_delta,standard_deviation,standard_error,confidence_level,ci_lower,ci_upper,direction
freev,int8_dynamic,cpu,baseline_cpu,pesq,utterance,mean_within_label_before_pairing,525,-0.12287298066275461,0.08555694223050272,0.003734011085716597,0.95,-0.1302084511050572,-0.11553751022045201,higher_is_better
freev,int8_dynamic,cpu,baseline_cpu,stoi,utterance,mean_within_label_before_pairing,525,-0.00463794797200172,0.0014395588879557457,6.282750068003484e-05,0.95,-0.004761372692395579,-0.004514523251607862,higher_is_better
freev,int8_dynamic,cpu,baseline_cpu,mel_error,utterance,mean_within_label_before_pairing,525,0.008357399418240501,0.0020331080748601216,8.873211094354717e-05,0.95,0.00818308505168725,0.008531713784793752,lower_is_better
freev,int8_dynamic,cpu,baseline_cpu,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,0.014923696517944335,0.005277312487514338,0.00023032079942828716,0.95,0.0144712309580759,0.01537616207781277,lower_is_better
freev,int8_dynamic,cpu,baseline_cpu,mcd,utterance,mean_within_label_before_pairing,525,0.42334043117223,0.09418626144722453,0.0041106254524457845,0.95,0.4152651012351723,0.43141576110928775,lower_is_better
freev,int8_dynamic,cpu,baseline_cpu,las_rmse,utterance,mean_within_label_before_pairing,525,0.04201020921979632,0.0321321466213927,0.0014023618488947774,0.95,0.03925526724029058,0.04476515119930206,lower_is_better
freev,int8_dynamic,cpu,baseline_cpu,utmos_strong,utterance,mean_within_label_before_pairing,525,-0.24392392930530366,0.16682108775169116,0.00728066916320948,0.95,-0.258226814921043,-0.22962104368956435,higher_is_better
freev,int8_weight_only,b200,baseline_b200,pesq,utterance,mean_within_label_before_pairing,525,-0.0014923787495446578,0.025647667480098158,0.0011193559773962584,0.95,-0.003691355265177899,0.0007065977660885836,higher_is_better
freev,int8_weight_only,b200,baseline_b200,stoi,utterance,mean_within_label_before_pairing,525,-0.00010982302250683186,0.00011622584803051913,5.0725118696217915e-06,0.95,-0.00011978797976959232,-9.98580652440714e-05,higher_is_better
freev,int8_weight_only,b200,baseline_b200,mel_error,utterance,mean_within_label_before_pairing,525,-2.7547809812757263e-05,0.00012871682134050209,5.617662638161505e-06,0.95,-3.858371658729567e-05,-1.6511903038218853e-05,lower_is_better
freev,int8_weight_only,b200,baseline_b200,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,0.00018325760250999305,0.001010774905082372,4.411383345811214e-05,0.95,9.659590976182086e-05,0.0002699192952581652,lower_is_better
freev,int8_weight_only,b200,baseline_b200,mcd,utterance,mean_within_label_before_pairing,525,-0.0002676830483756833,0.011071215213619595,0.000483187445252938,0.95,-0.001216905517559761,0.0006815394208083945,lower_is_better
freev,int8_weight_only,b200,baseline_b200,las_rmse,utterance,mean_within_label_before_pairing,525,0.0006063806442987351,0.0027704505267334505,0.00012091237378939349,0.95,0.0003688481025680715,0.0008439131860293988,lower_is_better
freev,int8_weight_only,b200,baseline_b200,utmos_strong,utterance,mean_within_label_before_pairing,525,-0.0018941711244129093,0.022292229038054563,0.0009729126378683586,0.95,-0.0038054594773922804,1.711722856646185e-05,higher_is_better
freev,pruned_50,b200,baseline_b200,pesq,utterance,mean_within_label_before_pairing,525,-1.2791154182524909,0.13204234354394923,0.005762800325995342,0.95,-1.2904364482349495,-1.2677943882700322,higher_is_better
freev,pruned_50,b200,baseline_b200,stoi,utterance,mean_within_label_before_pairing,525,-0.05112858948733104,0.005861522750330562,0.0002558178256294814,0.95,-0.051631143993850145,-0.05062603498081193,higher_is_better
freev,pruned_50,b200,baseline_b200,mel_error,utterance,mean_within_label_before_pairing,525,0.10968413927252331,0.007425764053528368,0.00032408691303024626,0.95,0.1090474700402427,0.11032080850480391,lower_is_better
freev,pruned_50,b200,baseline_b200,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,0.20640892369406563,0.029928683016964483,0.001306194813100753,0.95,0.20384290200226052,0.20897494538587075,lower_is_better
freev,pruned_50,b200,baseline_b200,mcd,utterance,mean_within_label_before_pairing,525,3.1280499900370433,0.27357237910013593,0.011939677478814553,0.95,3.1045944755176853,3.1515055045564013,lower_is_better
freev,pruned_50,b200,baseline_b200,las_rmse,utterance,mean_within_label_before_pairing,525,1.4434371403285435,0.1635407778406399,0.007137504701587515,0.95,1.429415501514838,1.457458779142249,lower_is_better
freev,pruned_50,b200,baseline_b200,utmos_strong,utterance,mean_within_label_before_pairing,525,-2.1584960198023966,0.28953605033734064,0.012636389210375314,0.95,-2.183320225575302,-2.133671814029491,higher_is_better
freev,torch_compile,b200,baseline_b200,pesq,utterance,mean_within_label_before_pairing,525,-4.716903444266864e-07,1.0525909159481796e-05,4.593883379195651e-07,0.95,-1.374159431151633e-06,4.3077874229826025e-07,higher_is_better
freev,torch_compile,b200,baseline_b200,stoi,utterance,mean_within_label_before_pairing,525,2.4471260660180725e-09,4.8176184334322356e-08,2.1025810610112185e-09,0.95,-1.6833976179074907e-09,6.577649749943635e-09,higher_is_better
freev,torch_compile,b200,baseline_b200,mel_error,utterance,mean_within_label_before_pairing,525,4.910287402554963e-09,7.821941394960175e-08,3.4137750975155695e-09,0.95,-1.7960789551357878e-09,1.1616653760245713e-08,lower_is_better
freev,torch_compile,b200,baseline_b200,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,-1.0293627546110157e-08,1.3632316665132756e-07,5.949630763388459e-09,0.95,-2.1981686206245227e-08,1.3944311140249143e-09,lower_is_better
freev,torch_compile,b200,baseline_b200,mcd,utterance,mean_within_label_before_pairing,525,-1.7571977743102706e-07,8.452599501521356e-06,3.689016860463582e-07,0.95,-9.004276992848067e-07,5.489881444227526e-07,lower_is_better
freev,torch_compile,b200,baseline_b200,las_rmse,utterance,mean_within_label_before_pairing,525,-1.4501904680790695e-07,1.1986579151007115e-05,5.231372026959011e-07,0.95,-1.1727228750915853e-06,8.826847814757714e-07,lower_is_better
freev,torch_compile,b200,baseline_b200,utmos_strong,utterance,mean_within_label_before_pairing,525,2.01891339013742e-06,0.00012966509596587075,5.659048735783961e-06,0.95,-9.098296435962098e-06,1.3136123216236938e-05,higher_is_better
freev,torch_compile_overhead,b200,baseline_b200,pesq,utterance,mean_within_label_before_pairing,525,-4.7123621380151806e-07,1.6138631197800126e-05,7.043476102561421e-07,0.95,-1.8549281626294754e-06,9.124557350264393e-07,higher_is_better
freev,torch_compile_overhead,b200,baseline_b200,stoi,utterance,mean_within_label_before_pairing,525,4.996826770554633e-09,2.1865930001976583e-07,9.543074226158437e-09,0.95,-1.3750557023366416e-08,2.374421056447568e-08,higher_is_better
freev,torch_compile_overhead,b200,baseline_b200,mel_error,utterance,mean_within_label_before_pairing,525,-2.948064652687937e-08,2.0048586976851388e-07,8.749920704602605e-09,0.95,-4.666987902450762e-08,-1.2291414029251122e-08,lower_is_better
freev,torch_compile_overhead,b200,baseline_b200,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,-5.5025494295215424e-08,1.998430787425015e-06,8.721867004290797e-08,0.95,-2.2636670390330398e-07,1.1631571531287312e-07,lower_is_better
freev,torch_compile_overhead,b200,baseline_b200,mcd,utterance,mean_within_label_before_pairing,525,-2.9714307338934987e-06,2.9121223123867843e-05,1.2709543742364074e-06,0.95,-5.4682225300906315e-06,-4.7463893769636546e-07,lower_is_better
freev,torch_compile_overhead,b200,baseline_b200,las_rmse,utterance,mean_within_label_before_pairing,525,-7.456824893144661e-07,1.4447901554635333e-05,6.305581191179674e-07,0.95,-1.9844148708644513e-06,4.930498922355189e-07,lower_is_better
freev,torch_compile_overhead,b200,baseline_b200,utmos_strong,utterance,mean_within_label_before_pairing,525,3.374644688193315e-06,0.00013303554140344813,5.8061470342926934e-06,0.95,-8.031539968471477e-06,1.478082934485811e-05,higher_is_better
