architecture_name,variant_name,lane,baseline_variant,metric,statistical_unit,seed_handling,n,mean_delta,standard_deviation,standard_error,confidence_level,ci_lower,ci_upper,direction
rfwave,fp16_weights,b200,baseline_b200,pesq,utterance,mean_within_label_before_pairing,525,3.530865623837679e-05,0.007645381608115878,0.00033367180891442113,0.95,-0.0006201901185467671,0.0006908074310235206,higher_is_better
rfwave,fp16_weights,b200,baseline_b200,stoi,utterance,mean_within_label_before_pairing,525,-9.630421495880153e-06,2.2676041177992783e-05,9.896635729532145e-07,0.95,-1.1574617086244521e-05,-7.686225905515784e-06,higher_is_better
rfwave,fp16_weights,b200,baseline_b200,mel_error,utterance,mean_within_label_before_pairing,525,0.002227368146654159,0.0006906660927911813,3.0143139525285547e-05,0.95,0.0021681519033302584,0.0022865843899780593,lower_is_better
rfwave,fp16_weights,b200,baseline_b200,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,0.0024921270400758764,0.0007120750602246736,3.10775034663791e-05,0.95,0.0024310752373722885,0.0025531788427794644,lower_is_better
rfwave,fp16_weights,b200,baseline_b200,mcd,utterance,mean_within_label_before_pairing,525,0.10573269779540963,0.024524509957768136,0.0010703373644111499,0.95,0.10363001841934578,0.10783537717147347,lower_is_better
rfwave,fp16_weights,b200,baseline_b200,las_rmse,utterance,mean_within_label_before_pairing,525,0.03614944215804817,0.010877946247108765,0.00047475249602892117,0.95,0.0352167901594103,0.037082094156686035,lower_is_better
rfwave,fp16_weights,b200,baseline_b200,utmos_strong,utterance,mean_within_label_before_pairing,525,3.175235929943689e-05,0.0016021094329181829,6.992178807571761e-05,0.95,-0.00010560909944511832,0.00016911381804399212,higher_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,pesq,utterance,mean_within_label_before_pairing,525,-0.6477526324135917,0.10109559456574303,0.00441217347165794,0.95,-0.6564203538918334,-0.63908491093535,higher_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,stoi,utterance,mean_within_label_before_pairing,525,-0.011923937339232178,0.0027458017714054785,0.00011983661391247084,0.95,-0.012159356549052723,-0.011688518129411633,higher_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,mel_error,utterance,mean_within_label_before_pairing,525,-0.00700394901018294,0.0223273318615571,0.0009744446506855686,0.95,-0.00891824700466575,-0.005089651015700131,lower_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,0.03564839453924269,0.024640499702081393,0.0010753995718697602,0.95,0.03353577044894715,0.037761018629538234,lower_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,mcd,utterance,mean_within_label_before_pairing,525,4.287437404147461,1.373738873024423,0.059954879721311895,0.95,4.169655951984716,4.405218856310206,lower_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,las_rmse,utterance,mean_within_label_before_pairing,525,0.16309771704295323,0.27650840596298043,0.012067816196351777,0.95,0.13939047381860956,0.1868049602672969,lower_is_better
rfwave,int8_dynamic,cpu,baseline_cpu,utmos_strong,utterance,mean_within_label_before_pairing,525,-0.28071375627366324,0.1386326566773784,0.006050425171589636,0.95,-0.2925998257016124,-0.26882768684571406,higher_is_better
rfwave,int8_weight_only,b200,baseline_b200,pesq,utterance,mean_within_label_before_pairing,525,-0.0025044012826586567,0.023736210841508208,0.001035933170406122,0.95,-0.00453949356740922,-0.0004693089979080937,higher_is_better
rfwave,int8_weight_only,b200,baseline_b200,stoi,utterance,mean_within_label_before_pairing,525,-0.00022080203217408727,0.00022031739633454684,9.615439482082355e-06,0.95,-0.00023969157762304734,-0.0002019124867251272,higher_is_better
rfwave,int8_weight_only,b200,baseline_b200,mel_error,utterance,mean_within_label_before_pairing,525,-0.027935658409481957,0.008927359809572082,0.0003896219246044821,0.95,-0.028701071271415315,-0.0271702455475486,lower_is_better
rfwave,int8_weight_only,b200,baseline_b200,multi_resolution_stft_error,utterance,mean_within_label_before_pairing,525,-0.029063942432403563,0.008675021522738935,0.0003786089788887833,0.95,-0.029807720345772035,-0.02832016451903509,lower_is_better
rfwave,int8_weight_only,b200,baseline_b200,mcd,utterance,mean_within_label_before_pairing,525,-1.2275231845622048,0.2890656228530745,0.012615858071750198,0.95,-1.252307056882136,-1.2027393122422736,lower_is_better
