step,time_unix,runtime/checkpoint_save_time_ms,runtime/checkpoint_size_mb,train_discriminator_loss,train_discriminator_loss_period,train_discriminator_loss_resolution,train_discriminator_loss_total,train_generator_loss,train_generator_loss_adversarial,train_generator_loss_amplitude,train_generator_loss_consistency,train_generator_loss_feature_matching,train_generator_loss_mel,train_generator_loss_phase,train_generator_loss_real_imaginary,train_generator_loss_total,train_loss,val_loss,val_loss_amplitude,val_loss_consistency,val_loss_mel,val_loss_phase,val_loss_real_imaginary,val_loss_total
0,1783430034.7176259,,,,,,,,,,,,,,,,,455.5432208251953,0.9566015648841858,0.15763416208326816,0.22527208507061006,3.6988857221603393,0.5639288100600243,455.5432208251953
5,1783430073.977305,,,4.01025390625,3.2177734375,0.79248046875,4.01025390625,,,,,,,,,,,,,,,,,
10,1783430074.6880453,,,,,,,504.9874572753906,25.625,0.8739566802978516,0.11146798729896545,35.63788604736328,0.21784035861492157,3.703125,0.4350583851337433,504.9874572753906,504.9874572753906,,,,,,,
15,1783430075.3140333,,,4.131103515625,3.4814453125,0.649658203125,4.131103515625,,,,,,,,,,,,,,,,,
20,1783430076.0237463,,,,,,,506.79248046875,27.203125,0.8292611837387085,0.11352358758449554,36.99533462524414,0.21045725047588348,3.703125,0.4599587321281433,506.79248046875,506.79248046875,,,,,,,
25,1783430076.6474843,,,3.854248046875,3.216796875,0.637451171875,3.854248046875,,,,,,,,,,,,,,,,,
30,1783430077.3547573,,,,,,,503.712158203125,25.90625,0.8000974655151367,0.1194872111082077,36.83305358886719,0.20750093460083008,3.703125,0.45008915662765503,503.712158203125,503.712158203125,,,,,,,
35,1783430077.9814134,,,4.34033203125,3.58984375,0.75048828125,4.34033203125,,,,,,,,,,,,,,,,,
40,1783430078.6916337,,,,,,,504.89447021484375,27.703125,0.7635223269462585,0.12490656971931458,38.313865661621094,0.2017015665769577,3.6875,0.4849244952201843,504.89447021484375,504.89447021484375,,,,,,,
45,1783430079.3161273,,,3.846435546875,3.10546875,0.740966796875,3.846435546875,,,,,,,,,,,,,,,,,
50,1783430080.0251865,,,,,,,505.501953125,27.3125,0.7497482895851135,0.146559476852417,37.11835479736328,0.1984214186668396,3.6875,0.5290727615356445,505.501953125,505.501953125,,,,,,,
55,1783430080.6538696,,,4.73876953125,3.9765625,0.76220703125,4.73876953125,,,,,,,,,,,,,,,,,
60,1783430081.3655834,,,,,,,506.54791259765625,27.890625,0.7580625414848328,0.12767446041107178,39.040283203125,0.20020470023155212,3.6875,0.5055465698242188,506.54791259765625,506.54791259765625,,,,,,,
65,1783430081.989924,,,4.1708984375,3.267578125,0.9033203125,4.1708984375,,,,,,,,,,,,,,,,,
70,1783430082.6994183,,,,,,,503.7742614746094,26.75,0.7369454503059387,0.14461204409599304,36.934024810791016,0.19793574512004852,3.6875,0.522512674331665,503.7742614746094,503.7742614746094,,,,,,,
75,1783430083.3327267,,,3.901611328125,3.083984375,0.817626953125,3.901611328125,,,,,,,,,,,,,,,,,
80,1783430084.0488183,,,,,,,501.7910461425781,25.71875,0.7416737675666809,0.14359411597251892,36.193763732910156,0.19532862305641174,3.6875,0.5167045593261719,501.7910461425781,501.7910461425781,,,,,,,
85,1783430084.6767132,,,4.066162109375,3.1015625,0.964599609375,4.066162109375,,,,,,,,,,,,,,,,,
90,1783430085.3887231,,,,,,,504.9108581542969,25.875,0.7784647345542908,0.14622139930725098,35.98343276977539,0.19958201050758362,3.6875,0.543563723564148,504.9108581542969,504.9108581542969,,,,,,,
95,1783430086.016889,,,4.31689453125,3.447265625,0.86962890625,4.31689453125,,,,,,,,,,,,,,,,,
100,1783430086.7315657,,,,,,,496.40728759765625,25.375,0.7427318692207336,0.12117749452590942,34.45799255371094,0.19252340495586395,3.6875,0.4674409031867981,496.40728759765625,496.40728759765625,,,,,,,
105,1783430087.360637,,,4.22607421875,3.349609375,0.87646484375,4.22607421875,,,,,,,,,,,,,,,,,
110,1783430088.0729535,,,,,,,502.6495056152344,25.265625,0.7441814541816711,0.15550604462623596,35.764373779296875,0.1947522759437561,3.6875,0.5415494441986084,502.6495056152344,502.6495056152344,,,,,,,
115,1783430088.705177,,,4.7109375,3.734375,0.9765625,4.7109375,,,,,,,,,,,,,,,,,
120,1783430089.4329562,,,,,,,502.71502685546875,25.4375,0.7505744695663452,0.14358215034008026,34.9720573425293,0.19318906962871552,3.703125,0.5194423198699951,502.71502685546875,502.71502685546875,,,,,,,
125,1783430090.0641477,,,4.2939453125,3.3115234375,0.982421875,4.2939453125,,,,,,,,,,,,,,,,,
130,1783430090.7756238,,,,,,,498.62353515625,25.234375,0.7896463871002197,0.12083784490823746,35.28712463378906,0.19989241659641266,3.65625,0.49189066886901855,498.62353515625,498.62353515625,,,,,,,
135,1783430091.4042635,,,4.34619140625,3.330078125,1.01611328125,4.34619140625,,,,,,,,,,,,,,,,,
140,1783430092.1200984,,,,,,,497.5003662109375,24.0625,0.7593766450881958,0.13111987709999084,32.805049896240234,0.19251161813735962,3.6875,0.5310550332069397,497.5003662109375,497.5003662109375,,,,,,,
145,1783430092.75222,,,4.664794921875,3.6796875,0.985107421875,4.664794921875,,,,,,,,,,,,,,,,,
150,1783430093.4643188,,,,,,,497.07989501953125,25.609375,0.7374393939971924,0.1258852630853653,34.41484832763672,0.19030317664146423,3.6875,0.48094287514686584,497.07989501953125,497.07989501953125,,,,,,,
155,1783430094.096273,,,4.26513671875,3.1083984375,1.15673828125,4.26513671875,,,,,,,,,,,,,,,,,
160,1783430094.811135,,,,,,,497.0921630859375,23.859375,0.7183986306190491,0.14982828497886658,33.43419647216797,0.19248709082603455,3.6875,0.5348095893859863,497.0921630859375,497.0921630859375,,,,,,,
165,1783430095.4407568,,,4.5283203125,3.46875,1.0595703125,4.5283203125,,,,,,,,,,,,,,,,,
170,1783430096.1572094,,,,,,,493.65814208984375,25.09375,0.7395403385162354,0.11137928068637848,32.78034210205078,0.19046343863010406,3.6875,0.46492892503738403,493.65814208984375,493.65814208984375,,,,,,,
175,1783430096.7841263,,,4.85595703125,3.681640625,1.17431640625,4.85595703125,,,,,,,,,,,,,,,,,
180,1783430097.4958777,,,,,,,497.5249938964844,23.78125,0.758351743221283,0.14299169182777405,33.241737365722656,0.19640789926052094,3.6875,0.513404369354248,497.5249938964844,497.5249938964844,,,,,,,
185,1783430098.1238308,,,5.13232421875,3.822265625,1.31005859375,5.13232421875,,,,,,,,,,,,,,,,,
190,1783430098.8374867,,,,,,,490.2232360839844,23.21875,0.7157182097434998,0.11626290529966354,32.46247100830078,0.18916325271129608,3.6875,0.45756664872169495,490.2232360839844,490.2232360839844,,,,,,,
195,1783430099.467199,,,5.26513671875,3.9765625,1.28857421875,5.26513671875,,,,,,,,,,,,,,,,,
200,1783430100.1823614,,,,,,,496.0408630371094,24.140625,0.7597706913948059,0.12925666570663452,32.948265075683594,0.19440346956253052,3.6875,0.4932788908481598,496.0408630371094,496.0408630371094,,,,,,,
205,1783430100.8142514,,,5.517578125,4.298828125,1.21875,5.517578125,,,,,,,,,,,,,,,,,
210,1783430101.529569,,,,,,,490.5512390136719,24.140625,0.7301219701766968,0.11818757653236389,30.80034065246582,0.18821868300437927,3.6875,0.46592146158218384,490.5512390136719,490.5512390136719,,,,,,,
215,1783430102.1586123,,,4.8134765625,3.53125,1.2822265625,4.8134765625,,,,,,,,,,,,,,,,,
