run_id,date,architecture_name,dataset_name,variant_name,lane,seed,status,parameter_count,residual_parameter_count,model_size_megabytes,deployable_size_megabytes,macs_per_second_audio,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,mel_error,multi_resolution_stft_error,pesq,stoi,mcd,f0_rmse_cents,periodicity_rmse,vuv_f1,utmos_strong,las_rmse,test_utterance_count,timed_utterance_count,rtf_warmup_iterations,rtf_repetitions_executed,pesq_failure_count,stoi_failure_count,mel_error_failure_count,multi_resolution_stft_error_failure_count,mcd_failure_count,las_rmse_failure_count,utmos_strong_failure_count,session_build_seconds,mac_status,group_pesq_delta,group_rtf_speedup,group_size_ratio,classification,classification_basis
s2_vocos_baseline_b200_s42_20260721_1918,2026-07-21,vocos,ljspeech,baseline_b200,b200,42,completed,13531650.0,13531650.0,51.62305450439453,51.64720439910889,1.270964224,0.00026459099478055235,1.638747215270996,2.346055269241333,6786.0,0.1665526098296756,0.902062226931254,3.6096226251692998,0.9793082272743171,5.535587835975935,27.752871255603438,0.11708074215033523,0.958416535295148,4.085422341937111,7.328107059115455,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocos_baseline_b200_s43_20260721_1918,2026-07-22,vocos,ljspeech,baseline_b200,b200,43,completed,13531650.0,13531650.0,51.62305450439453,51.64720439910889,1.270964224,0.00025153659088151257,1.5906275510787964,2.117840051651001,6776.625,0.1665526098296756,0.902062226931254,3.6096226251692998,0.9793082272743171,5.535587835975935,27.89096761293142,0.11708076031833367,0.9584563219249739,4.085421383267358,7.328107059115455,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocos_baseline_b200_s44_20260721_1918,2026-07-22,vocos,ljspeech,baseline_b200,b200,44,completed,13531650.0,13531650.0,51.62305450439453,51.64720439910889,1.270964224,0.0003438693722061523,1.8980668783187866,4.182281494140625,6754.05859375,0.16655261275314148,0.902062227271852,3.6096226251692998,0.9793082272743171,5.535588545828052,27.597047333987273,0.1170807559338174,0.9584705426247963,4.085423491341727,7.328105495997837,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocos_baseline_cpu_s42_20260721_0649,2026-07-21,vocos,ljspeech,baseline_cpu,cpu,42,completed,13531650.0,13531650.0,51.62305450439453,51.64616680145264,1.270964224,0.006757459409274538,45.500064849853516,59.32539749145508,10104.46484375,0.16691404955727712,0.9029869092078436,3.610010870978946,0.9793088362817242,5.605534992834478,27.752167750176394,0.1170087485472181,0.9584404726038754,4.085204404195149,7.342880442483085,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocos_baseline_cpu_s43_20260721_0649,2026-07-21,vocos,ljspeech,baseline_cpu,cpu,43,completed,13531650.0,13531650.0,51.62305450439453,51.64616680145264,1.270964224,0.006606452661230922,43.862632751464844,58.73938751220703,10011.1875,0.16691404955727712,0.9029869092078436,3.610010870978946,0.9793088362817242,5.605534992834478,27.893243638051096,0.1170087485472181,0.9584849263246387,4.085204404195149,7.342880442483085,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocos_baseline_cpu_s44_20260721_0649,2026-07-21,vocos,ljspeech,baseline_cpu,cpu,44,completed,13531650.0,13531650.0,51.62305450439453,51.64616680145264,1.270964224,0.006707609350588447,44.75390625,59.44072341918945,9911.07421875,0.16691404955727712,0.9029869092078436,3.610010870978946,0.9793088362817242,5.605534992834478,27.59694124858817,0.1170087485472181,0.9584983745002055,4.085204404195149,7.342880442483085,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocos_fp16_weights_s42_20260721_1443,2026-07-21,vocos,ljspeech,fp16_weights,b200,42,completed,13531650.0,13531650.0,25.811527252197266,25.838854789733887,1.270964224,0.0002297220430977745,1.2116115093231201,2.4935171604156494,10716.6484375,0.1703224355833871,0.9076413999285017,3.6107316825503393,0.9793101617419093,5.651062156058466,27.755882596909068,0.11699749869551139,0.9584667521481305,4.085233943575904,7.378902803148542,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0011090573810395021,1.1066462235976182,0.5002953226676429,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_vocos_fp16_weights_s43_20260721_1443,2026-07-21,vocos,ljspeech,fp16_weights,b200,43,completed,13531650.0,13531650.0,25.811527252197266,25.838854789733887,1.270964224,0.0002214695260668502,1.2125763893127441,2.4288578033447266,10614.07421875,0.1703224355833871,0.9076413999285017,3.6107316825503393,0.9793101617419093,5.651062156058466,27.77218439831867,0.11699802528891048,0.9584811368121154,4.085234372275216,7.378902803148542,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0011090573810395021,1.1066462235976182,0.5002953226676429,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_vocos_fp16_weights_s44_20260721_1443,2026-07-21,vocos,ljspeech,fp16_weights,b200,44,completed,13531650.0,13531650.0,25.811527252197266,25.838854789733887,1.270964224,0.00032592847112470637,1.8128952980041504,3.9103968143463135,9954.8671875,0.17032243356818244,0.9076413763137091,3.6107316825503393,0.9793101617419093,5.651061221675523,27.600322631249245,0.11699798898352749,0.9585037334261337,4.08523320152646,7.378901880355109,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0011090573810395021,1.1066462235976182,0.5002953226676429,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
s2_vocos_int8_dynamic_s42_20260721_0649,2026-07-21,vocos,ljspeech,int8_dynamic,cpu,42,completed,13531650.0,406016.0,1.552734375,14.155848503112793,,0.006675277362019319,45.158267974853516,58.52346420288086,9676.578125,0.1878041358788808,0.9241424182483128,3.5631240068163192,0.9755225740880453,6.3245559173063475,28.31125634033519,0.11900200341998968,0.9576836478193503,4.007366958799817,7.3968684950329004,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,-0.046884250035360786,1.205858693265112,0.2740929168573772,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
