run_id,date,architecture_name,dataset_name,variant_name,lane,seed,status,parameter_count,residual_parameter_count,model_size_megabytes,deployable_size_megabytes,macs_per_second_audio,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,mel_error,multi_resolution_stft_error,pesq,stoi,mcd,f0_rmse_cents,periodicity_rmse,vuv_f1,utmos_strong,las_rmse,test_utterance_count,timed_utterance_count,rtf_warmup_iterations,rtf_repetitions_executed,pesq_failure_count,stoi_failure_count,mel_error_failure_count,multi_resolution_stft_error_failure_count,mcd_failure_count,las_rmse_failure_count,utmos_strong_failure_count,session_build_seconds,mac_status,group_pesq_delta,group_rtf_speedup,group_size_ratio,classification,classification_basis
s2_vocosformer_baseline_b200_s42_20260721_1918,2026-07-22,vocosformer,ljspeech,baseline_b200,b200,42,completed,13778690.0,13778690.0,52.56543731689453,52.59395885467529,1.30475008,0.0003079495507676059,1.8524913787841797,2.6882998943328857,6839.91796875,0.41127916866824743,1.2731035797936576,2.4765954346883863,0.9586813725588058,16.61589070276974,31.75370855511237,0.14176155816390515,0.9469635646473674,3.2030721405574254,8.726375697907947,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocosformer_baseline_b200_s43_20260721_1918,2026-07-21,vocosformer,ljspeech,baseline_b200,b200,43,completed,13778690.0,13778690.0,52.56543731689453,52.59395885467529,1.30475008,0.0003065101325264918,1.8514173030853271,2.6538169384002686,6840.77734375,0.4112792080356961,1.273103688103812,2.4766362900961014,0.958681323717355,16.61589222706908,31.68615482353969,0.141761221607845,0.946987241568066,3.203077107157026,8.726376839592342,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocosformer_baseline_b200_s44_20260721_1918,2026-07-22,vocosformer,ljspeech,baseline_b200,b200,44,completed,13778690.0,13778690.0,52.56543731689453,52.59395885467529,1.30475008,0.0002930010977204215,1.7947015762329102,2.494702100753784,6838.8125,0.4112792888709477,1.273103822412945,2.4766359047662645,0.958681311557804,16.615897186968986,31.50553442245561,0.14176158538269634,0.94698056133275,3.203078087397984,8.726376657031832,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocosformer_baseline_cpu_s42_20260721_0649,2026-07-21,vocosformer,ljspeech,baseline_cpu,cpu,42,completed,13778690.0,13778690.0,52.56543731689453,52.59279918670654,1.30475008,0.0066159705122003296,44.68006134033203,59.35346221923828,9775.1796875,0.41155528956935516,1.2748564128648667,2.4779556020100912,0.9586916196570783,16.665303505134784,31.748740595179605,0.1416798888924858,0.9470197281155474,3.2033750618071783,8.753599702744257,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocosformer_baseline_cpu_s43_20260721_0649,2026-07-21,vocosformer,ljspeech,baseline_cpu,cpu,43,completed,13778690.0,13778690.0,52.56543731689453,52.59279918670654,1.30475008,0.008928306362904186,59.625694274902344,81.53067779541016,9657.05078125,0.41155537017754146,1.2748565084593637,2.477955487569173,0.9586916155205584,16.665305399003497,31.680505770566146,0.14168008645731733,0.9470264049254262,3.2033731860206243,8.753600780850364,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocosformer_baseline_cpu_s44_20260721_0649,2026-07-21,vocosformer,ljspeech,baseline_cpu,cpu,44,completed,13778690.0,13778690.0,52.56543731689453,52.59279918670654,1.30475008,0.00683712800866694,46.004425048828125,60.545440673828125,10034.125,0.41155528956935516,1.2748564128648667,2.4779556020100912,0.9586916196570783,16.665303505134784,31.498669604528686,0.1416798888924858,0.9470241590421538,3.2033750618071783,8.753599702744257,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,0.0,1.0,1.0,denominator,Same-lane identity denominator.
s2_vocosformer_fp16_weights_s42_20260721_1443,2026-07-21,vocosformer,ljspeech,fp16_weights,b200,42,completed,13778690.0,13778690.0,26.282718658447266,26.314539909362793,1.30475008,0.0006837575062927477,3.687622547149658,9.934535026550293,9970.9140625,0.4124331995702925,1.2751258353959947,2.476222109113421,0.9586778761801853,16.656594235377977,31.751208946222658,0.1416866880421785,0.946975899837648,3.2031332897004625,8.747217778705416,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.00040043407016332466,0.5538196056102573,0.5003338878153986,inconclusive,The measured quality–speed–size trade-off does not cross the descriptive benefit or harm thresholds.
s2_vocosformer_fp16_weights_s43_20260721_1443,2026-07-21,vocosformer,ljspeech,fp16_weights,b200,43,completed,13778690.0,13778690.0,26.282718658447266,26.314539909362793,1.30475008,0.0005001412380086503,2.8218772411346436,3.88610577583313,10121.6171875,0.4124331995702925,1.2751258353959947,2.476222109113421,0.9586778761801853,16.656594235377977,31.685702894494344,0.1416866503595374,0.946988002535631,3.203134147780282,8.747217778705416,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.00040043407016332466,0.5538196056102573,0.5003338878153986,inconclusive,The measured quality–speed–size trade-off does not cross the descriptive benefit or harm thresholds.
s2_vocosformer_fp16_weights_s44_20260721_1443,2026-07-21,vocosformer,ljspeech,fp16_weights,b200,44,completed,13778690.0,13778690.0,26.282718658447266,26.314539909362793,1.30475008,0.0004546506530508,2.0795321464538574,7.917041778564453,10541.90625,0.41243318376087007,1.2751258260863167,2.476222109113421,0.9586778761801853,16.656593384671115,31.505526469740808,0.14168656150420714,0.9470007813267584,3.2031333539599465,8.747218088422503,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,partial,-0.00040043407016332466,0.5538196056102573,0.5003338878153986,inconclusive,The measured quality–speed–size trade-off does not cross the descriptive benefit or harm thresholds.
s2_vocosformer_int8_dynamic_s42_20260721_0649,2026-07-21,vocosformer,ljspeech,int8_dynamic,cpu,42,completed,13778690.0,7739904.0,29.529296875,35.346720695495605,,0.005779731429779439,38.722991943359375,50.2043342590332,9838.82421875,0.40427695538316455,1.2721934642110553,2.4752405137107485,0.955187718713289,16.501024958849754,31.406545067550308,0.1421664255786529,0.9468203410147096,3.1529365005947296,8.678015031360445,525.0,520.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,failed,-0.00253304201459148,1.0971953659813256,0.672082894276331,inconclusive,The measured quality–speed–size trade-off does not cross the descriptive benefit or harm thresholds.
