category,architecture_name,variant_name,attempt_count,seeds,run_ids,reason_code,reason
invalid_complete_group,apnet2,pruned_50_recovered,3,42|43|44,s2_apnet2_pruned_50_recovered_s42_20260721_1443r|s2_apnet2_pruned_50_recovered_s43_20260721_1443r|s2_apnet2_pruned_50_recovered_s44_20260721_1443r,zero_step_recovery_source,The evaluation used the zero-step unrecovered control rather than the completed 13-epoch recovery state.
invalid_complete_group,freev,pruned_50_recovered,3,42|43|44,s2_freev_pruned_50_recovered_s42_20260721_1443r|s2_freev_pruned_50_recovered_s43_20260721_1443r|s2_freev_pruned_50_recovered_s44_20260721_1443r,training_state_mismatch,"The checkpoint declared by the evaluation recipe does not match the retained recovery state, so the evaluated state cannot be reconstructed."
invalid_complete_group,hifigan_v1,pruned_50_recovered,3,42|43|44,s2_hifigan_v1_pruned_50_recovered_s42_20260721_1443r|s2_hifigan_v1_pruned_50_recovered_s43_20260721_1443r|s2_hifigan_v1_pruned_50_recovered_s44_20260721_1443r,stress_checkpoint_source,The evaluation used a ten-batch stress state rather than the completed 13-epoch recovery state.
invalid_complete_group,hifigan_v2,pruned_50_recovered,3,42|43|44,s2_hifigan_v2_pruned_50_recovered_s42_20260721_1443r|s2_hifigan_v2_pruned_50_recovered_s43_20260721_1443r|s2_hifigan_v2_pruned_50_recovered_s44_20260721_1443r,zero_step_recovery_source,The evaluation used the zero-step unrecovered control rather than the completed 13-epoch recovery state.
invalid_complete_group,rfwave,dense_continued,3,42|43|44,s2_rfwave_dense_continued_s42_20260721_1646|s2_rfwave_dense_continued_s43_20260721_1646|s2_rfwave_dense_continued_s44_20260721_1646,recovery_budget_mismatch,The dense continuation source ran one epoch rather than the registered 13-epoch recovery-matched budget.
invalid_complete_group,rfwave,pruned_50_recovered,3,42|43|44,s2_rfwave_pruned_50_recovered_s42_20260721_1443r|s2_rfwave_pruned_50_recovered_s43_20260721_1443r|s2_rfwave_pruned_50_recovered_s44_20260721_1443r,stress_checkpoint_source,The evaluation used a ten-batch stress state rather than the completed 13-epoch recovery state.
invalid_complete_group,vocos,dense_continued,3,42|43|44,s2_vocos_dense_continued_s42_20260721_1646|s2_vocos_dense_continued_s43_20260721_1646|s2_vocos_dense_continued_s44_20260721_1646,training_state_mismatch,"The checkpoint declared by the evaluation recipe does not match the retained dense-continuation state, so the evaluated state cannot be reconstructed."
invalid_complete_group,vocos,pruned_50_recovered_half,3,42|43|44,s2_vocos_pruned_50_recovered_half_s42_20260721_1646|s2_vocos_pruned_50_recovered_half_s43_20260721_1646|s2_vocos_pruned_50_recovered_half_s44_20260721_1646,training_state_mismatch,"The checkpoint declared by the evaluation recipe does not match the retained half-budget recovery state, so the evaluated state cannot be reconstructed."
invalid_complete_group,vocosformer,pruned_50_recovered,3,42|43|44,s2_vocosformer_pruned_50_recovered_s42_20260721_1443r|s2_vocosformer_pruned_50_recovered_s43_20260721_1443r|s2_vocosformer_pruned_50_recovered_s44_20260721_1443r,zero_step_recovery_source,The evaluation used the zero-step unrecovered control rather than the completed 13-epoch recovery state.
incomplete_lpcnet_execution,lpcnet,baseline_cpu,3,42|43|44,s2_lpcnet_baseline_cpu_s42_20260721_0649|s2_lpcnet_baseline_cpu_s43_20260721_0649|s2_lpcnet_baseline_cpu_s44_20260721_0649,incomplete_lpcnet_execution,The executions terminated before the complete 525-utterance measurement contract and are not used as results.
incomplete_lpcnet_execution,lpcnet,int8_dynamic,3,42|43|44,s2_lpcnet_int8_dynamic_s42_20260721_0649|s2_lpcnet_int8_dynamic_s43_20260721_0649|s2_lpcnet_int8_dynamic_s44_20260721_0649,incomplete_lpcnet_execution,The executions terminated before the complete 525-utterance measurement contract and are not used as results.
incomplete_lpcnet_execution,lpcnet,pruned_50,6,42|43|44,s2_lpcnet_pruned_50_s42_20260721_1443|s2_lpcnet_pruned_50_s42_20260722_1832|s2_lpcnet_pruned_50_s43_20260721_1443|s2_lpcnet_pruned_50_s43_20260722_1832|s2_lpcnet_pruned_50_s44_20260721_1443|s2_lpcnet_pruned_50_s44_20260722_1832,incomplete_lpcnet_execution,The executions terminated before the complete 525-utterance measurement contract and are not used as results.
incomplete_lpcnet_execution,lpcnet,pruned_50_recovered,3,42|43|44,s2_lpcnet_pruned_50_recovered_s42_20260721_1443r|s2_lpcnet_pruned_50_recovered_s43_20260721_1443r|s2_lpcnet_pruned_50_recovered_s44_20260721_1443r,incomplete_lpcnet_execution,The executions terminated before the complete 525-utterance measurement contract and are not used as results.
superseded_compilation_attempt,apnet2,torch_compile,3,42|43|44,s2_apnet2_torch_compile_s42_20260721_1443|s2_apnet2_torch_compile_s43_20260721_1443|s2_apnet2_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,bigvgan,torch_compile,3,42|43|44,s2_bigvgan_torch_compile_s42_20260721_1443|s2_bigvgan_torch_compile_s43_20260721_1443|s2_bigvgan_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,freev,torch_compile,3,42|43|44,s2_freev_torch_compile_s42_20260721_1443|s2_freev_torch_compile_s43_20260721_1443|s2_freev_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,freev,torch_compile_overhead,3,42|43|44,s2_freev_torch_compile_overhead_s42_20260721_1443|s2_freev_torch_compile_overhead_s43_20260721_1443|s2_freev_torch_compile_overhead_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,hifigan_v1,torch_compile,3,42|43|44,s2_hifigan_v1_torch_compile_s42_20260721_1443|s2_hifigan_v1_torch_compile_s43_20260721_1443|s2_hifigan_v1_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,hifigan_v2,torch_compile,3,42|43|44,s2_hifigan_v2_torch_compile_s42_20260721_1443|s2_hifigan_v2_torch_compile_s43_20260721_1443|s2_hifigan_v2_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,hifigan_v3,torch_compile,3,42|43|44,s2_hifigan_v3_torch_compile_s42_20260721_1443|s2_hifigan_v3_torch_compile_s43_20260721_1443|s2_hifigan_v3_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,melgan,torch_compile,3,42|43|44,s2_melgan_torch_compile_s42_20260721_1443|s2_melgan_torch_compile_s43_20260721_1443|s2_melgan_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
superseded_compilation_attempt,rfwave,torch_compile,3,42|43|44,s2_rfwave_torch_compile_s42_20260721_1443|s2_rfwave_torch_compile_s43_20260721_1443|s2_rfwave_torch_compile_s44_20260721_1443,superseded_compilation_attempt,Preliminary compilation attempts used an incompatible runtime and were superseded by completed aligned-runtime evaluations.
