architecture_name,variant_name,lane,baseline_variant,evaluation_seeds,seed_count,test_utterances,pesq,stoi,mel_error,multi_resolution_stft_error,mcd,utmos_strong,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,session_build_seconds,deployable_size_megabytes,baseline_pesq,pesq_delta,rtf_speedup,size_ratio,classification,classification_basis
rfwave,baseline_b200,b200,baseline_b200,42|43|44,3,525,3.7803190688481405,0.9807925603942763,0.4103205310730707,1.0786765303309,17.84848433822387,3.5201401212480334,0.009092392228467493,62.490866343180336,78.83459981282552,6966.514322916667,,69.23919677734375,3.7803190688481405,0.0,1.0,1.0,denominator,Same-lane identity denominator.
rfwave,baseline_cpu,cpu,baseline_cpu,42|43|44,3,525,3.7849267671978666,0.9808313545875998,0.41041478982047425,1.078978915630825,17.786912587496364,3.524992130673121,0.5898890507382867,3786.236083984375,5931.942545572917,12505.2734375,,69.2379150390625,3.7849267671978666,0.0,1.0,1.0,denominator,Same-lane identity denominator.
rfwave,fp16_weights,b200,baseline_b200,42|43|44,3,525,3.780354377504379,0.9807829299727805,0.4125478992197249,1.081168657370976,17.954217036019276,3.520171873607333,0.004651238558340861,30.205130259195965,38.07872009277344,11600.143229166666,,34.64300537109375,3.7803190688481405,3.530865623835311e-05,1.9548324848147183,0.5003380597047817,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
rfwave,int8_dynamic,cpu,baseline_cpu,42|43|44,3,525,3.1371741347842743,0.9689074172483676,0.4034108408102914,1.1146273101700677,22.074349991643825,3.244278374399458,0.41929111755503556,2550.797119140625,4453.230631510417,11601.94921875,,27.017624855041504,3.7849267671978666,-0.6477526324135923,1.406872280476723,0.39021430439952964,harmful,Mean PESQ decreased by more than 0.10 against the same-lane denominator.
rfwave,int8_weight_only,b200,baseline_b200,42|43|44,3,525,3.777814667565482,0.9805717583621022,0.3823848726635887,1.0496125878984965,16.620961153661664,3.5210723774016848,0.007112767510433764,45.1523551940918,59.5291493733724,6998.53125,,27.238389015197754,3.7803190688481405,-0.002504401282658719,1.2783198965985891,0.393395508367749,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
rfwave,ode_steps_2,b200,baseline_b200,42|43|44,3,525,2.14402137885018,0.8915255114295096,0.8926770642068651,1.7251514573324294,30.054184968716868,2.041863773209708,0.00201666889280959,13.03296693166097,19.35417938232422,8575.5234375,,69.23919677734375,3.7803190688481405,-1.6362976899979604,4.50861926858014,1.0,harmful,Mean PESQ decreased by more than 0.10 against the same-lane denominator.
rfwave,ode_steps_4,b200,baseline_b200,42|43|44,3,525,3.4114509476555717,0.9668800353260883,0.5960978360592373,1.301464170047215,22.03282534515355,3.03879114779215,0.004132881242799112,26.626869837443035,38.982781728108726,8564.231770833334,,69.23919677734375,3.7803190688481405,-0.36886812119256884,2.2000129435873674,1.0,harmful,Mean PESQ decreased by more than 0.10 against the same-lane denominator.
rfwave,ode_steps_8,b200,baseline_b200,42|43|44,3,525,3.7347055348895846,0.979222891410403,0.4499030517585694,1.1230029928495013,18.922043160996378,3.4336010239616273,0.007572772342465042,51.44298299153646,66.56130727132161,8547.399739583334,,69.23919677734375,3.7803190688481405,-0.04561353395855594,1.2006688986913072,1.0,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
rfwave,pruned_30,b200,baseline_b200,42|43|44,3,525,1.040654296572246,0.7105504243324341,1.8315897373926073,2.883729800572471,69.59506785079654,1.394017619254097,0.00880174246327889,60.462782541910805,77.47834777832031,8582.302083333334,,69.23919677734375,3.7803190688481405,-2.7396647722758942,1.0330218438452614,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
rfwave,pruned_50,b200,baseline_b200,42|43|44,3,525,1.061558466563149,0.5565789169465094,1.9914854820947798,3.1714808719877214,75.72514333393435,1.3674207464853925,0.009900125262847378,66.17941792805989,89.08889770507812,8551.97265625,,69.23919677734375,3.7803190688481405,-2.7187606022849913,0.9184118369278518,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
rfwave,pruned_70,b200,baseline_b200,42|43|44,3,525,1.067907587762863,0.4154954975381105,2.1292889081107247,3.3668171511756046,79.05688907063941,1.374432209635538,0.008722928047106152,60.484475453694664,76.40538533528645,8578.286458333334,,69.23919677734375,3.7803190688481405,-2.7124114810852777,1.0423555232103412,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
rfwave,torch_compile,b200,baseline_b200,42|43|44,3,525,3.7802254749479745,0.9807928132344843,0.41031941707172087,1.078675748053051,17.848600611721682,3.5201289923228916,0.006594674328753512,45.470916748046875,58.40791702270508,7194.041666666667,,69.24090576171875,3.7803190688481405,-9.359390016605573e-05,1.378747725088357,1.0000246823252514,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
rfwave,torch_compile_overhead,b200,baseline_b200,42|43|44,3,525,3.7802254749479745,0.9807928132344843,0.4103194207615322,1.0786757636448694,17.848601209540817,3.520127661871532,0.006682176575281328,46.372063954671226,59.006142934163414,7399.4140625,,69.24090576171875,3.7803190688481405,-9.359390016605573e-05,1.3606932001919885,1.0000246823252514,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
