architecture_name,variant_name,lane,baseline_variant,evaluation_seeds,seed_count,test_utterances,pesq,stoi,mel_error,multi_resolution_stft_error,mcd,utmos_strong,real_time_factor,latency_p50_ms,latency_p95_ms,peak_host_memory_megabytes,session_build_seconds,deployable_size_megabytes,baseline_pesq,pesq_delta,rtf_speedup,size_ratio,classification,classification_basis
vocos,baseline_b200,b200,baseline_b200,42|43|44,3,525,3.6096226251692998,0.9793082272743171,0.16655261080416423,0.9020622270447868,5.535588072593307,4.0854224055153985,0.0002866656526227391,1.7091472148895264,2.88205893834432,6772.227864583333,,51.64720439910889,3.6096226251692998,0.0,1.0,1.0,denominator,Same-lane identity denominator.
vocos,baseline_cpu,cpu,baseline_cpu,42|43|44,3,525,3.6100108709789454,0.979308836281724,0.1669140495572771,0.9029869092078436,5.605534992834478,4.085204404195149,0.006690507140364636,44.70553461710612,59.16850280761719,10008.908854166666,,51.64616680145264,3.6100108709789454,0.0,1.0,1.0,denominator,Same-lane identity denominator.
vocos,fp16_weights,b200,baseline_b200,42|43|44,3,525,3.6107316825503393,0.9793101617419092,0.17032243491165222,0.9076413920569042,5.651061844597486,4.08523383912586,0.000259040013429777,1.4123610655466716,2.9442572593688965,10428.529947916666,,25.838854789733887,3.6096226251692998,0.0011090573810395021,1.1066462235976182,0.5002953226676429,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
vocos,int8_dynamic,cpu,baseline_cpu,42|43|44,3,525,3.5631266209435846,0.9755282243863048,0.18780926776310755,0.9241381205831255,6.324611089597528,4.006369462543064,0.005548334293007999,37.39367802937826,48.18624496459961,9668.610677083334,,14.155848503112793,3.6100108709789454,-0.046884250035360786,1.205858693265112,0.2740929168573772,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
vocos,int8_weight_only,b200,baseline_b200,42|43|44,3,525,3.6118097668602354,0.9792490400625254,0.1668527667295365,0.9022017740067981,5.542859607779744,4.084424892001682,0.00029190978369637665,1.6632551749547322,2.596184253692627,6791.248697916667,,14.356898307800293,3.6096226251692998,0.00218714169093559,0.9820350965725351,0.27798016320217334,beneficial,Objective PESQ stayed within 0.05 while same-lane speed improved by at least 10% or deployable size fell by at least 45%.
vocos,pruned_30,b200,baseline_b200,42|43|44,3,525,1.7486832305363247,0.8869912960960248,0.8047154077272567,4.641412617365519,37.54433575862935,1.6357350722570267,0.0003820020752762388,2.3576506773630777,3.5581303437550864,8376.13671875,,51.64720439910889,3.6096226251692998,-1.860939394632975,0.7504295687803301,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
vocos,pruned_50,b200,baseline_b200,42|43|44,3,525,1.4654552293959118,0.8621894426602231,0.9302509313916403,5.067098415768336,44.50682213527847,1.4083328254639156,0.00029866301531059335,1.8699679772059123,2.5382327238718667,8397.723958333334,,51.64720439910889,3.6096226251692998,-2.1441673957733878,0.95982976775555,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
vocos,pruned_50_recovered,b200,baseline_b200,42|43|44,3,525,3.134345744905018,0.9641235943383748,0.21351726115696013,0.9814069938281226,7.280822872008113,3.5912525508517312,0.0003772332489355072,2.2428733507792153,3.5664161841074624,8382.901041666666,,51.64720439910889,3.6096226251692998,-0.47527688026428194,0.7599161882778477,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
vocos,pruned_70,b200,baseline_b200,42|43|44,3,525,1.3071276576178414,0.8555808480908084,1.1051609627784245,5.7373992735242085,51.94619306595761,1.3936987437142268,0.00037800247667369255,2.260624647140503,3.5171029567718506,8378.799479166666,,51.64720439910889,3.6096226251692998,-2.3024949675514583,0.7583697735139465,1.0,harmful,Dense masking caused more than 0.10 PESQ loss and provides no physical storage or sparse-kernel deployment gain.
vocos,torch_compile,b200,baseline_b200,42|43|44,3,525,3.609622765798417,0.9793082276024675,0.1665526122138614,0.902062240063198,5.535587909657376,4.085421411120702,0.00026686708250608986,1.501597245534261,2.4688334465026855,7516.388020833333,,51.64854717254639,3.6096226251692998,1.4062911724010974e-07,1.0741888805870143,1.0000259989568288,inconclusive,The measured quality–speed–size trade-off does not cross the descriptive benefit or harm thresholds.
vocos,torch_compile_overhead,b200,baseline_b200,42|43|44,3,525,3.60962295365712,0.97930822757788,0.1665526121003287,0.9020622387008062,5.535588030987699,4.085420807429723,0.0007346855447705067,3.5386335055033364,14.531980832417807,7737.682291666667,,51.64854717254639,3.6096226251692998,3.284878200560115e-07,0.39018823041126344,1.0000259989568288,harmful,The intervention slowed execution by more than 10% without a material deployable-size reduction.
